SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log1p_deduplicated,n_reps,y_std,y_min,y_max
C#CCC(C(=O)N[C@H](/C=C/C(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL141157,chembl_dataset,3.1124000208407816,1,,3.1124000208407816,3.1124000208407816
C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114551,chembl_dataset,6.675268212664775,1,,6.675268212664775,6.675268212664775
C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114545,chembl_dataset,6.33930054237951,1,,6.33930054237951,6.33930054237951
C#CCCCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0020904,openadmet_polaris,4.420492255124101,1,,4.420492255124101,4.420492255124101
C#CCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0021070,openadmet_polaris,4.144581298648812,1,,4.144581298648812,4.144581298648812
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,CHEMBL5180351,chembl_dataset,4.154184562578117,1,,4.154184562578117,4.154184562578117
C#CCN1C(=O)C(C)N(C)c2nc(Nc3cc(F)c([O-])c(F)c3)ncc21,C#CCN1C(=O)[C@H](C)N(C)c2nc(Nc3cc(F)c(O)c(F)c3)ncc21,CHEMBL5559444,chembl_dataset,2.395310115976244,1,,2.395310115976244,2.395310115976244
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,fang_295,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,fang_1086,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,fang_1777,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,fang_1696,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,fang_1405,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,fang_192,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,fang_2395,fang_dataset,3.3297729854369043,1,,3.3297729854369043,3.3297729854369043
C#CCNC(=O)Cc1coc2cc(OC)ccc12,C#CCNC(=O)Cc1coc2cc(OC)ccc12,fang_1228,fang_dataset,2.799717389628645,1,,2.799717389628645,2.799717389628645
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,fang_1889,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCNC(=O)c1cc(C(C)C)nn1CC,C#CCNC(=O)c1cc(C(C)C)nn1CC,fang_971,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCNC(=O)c1ccc2c(c1)OCO2,C#CCNC(=O)c1ccc2c(c1)OCO2,fang_1586,fang_dataset,2.707249881711067,1,,2.707249881711067,2.707249881711067
C#CCNC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(=O)N(C)c2ccc3scnc3c2)c1,C#CCNC(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)c2ccc3scnc3c2)c1,CHEMBL5201787,chembl_dataset,4.032632265768676,1,,4.032632265768676,4.032632265768676
C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCCC(NC(=O)C(C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCC[C@H](NC(=O)[C@H](C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,CHEMBL3236383,chembl_dataset,2.740284610456417,2,0.6565470237987017,2.2760357577605093,3.204533463152324
C#CCOc1ccc(C(=O)[N-]N2CCCC2=O)cc1,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,fang_1199,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C#CCOc1ccc(OC)cc1C(N)=O,C#CCOc1ccc(OC)cc1C(N)=O,fang_1959,fang_dataset,2.694762306625026,1,,2.694762306625026,2.694762306625026
C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,CHEMBL5400079,chembl_dataset,3.8110955789652876,2,1.1445816878388608,3.001754105872485,4.62043705205809
C#CCn1nnc2c(-c3nccs3)ncn2c1=O,C#CCn1nnc2c(-c3nccs3)ncn2c1=O,CHEMBL5418433,chembl_dataset,3.358095490313727,2,0.6725670313947735,2.882518781611977,3.833672199015477
C#CCn1nnc2c(C(N)=O)ncn2c1=O,C#CCn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL4210151,chembl_dataset,3.134105444111486,2,0.2237695967267229,2.9758764448426414,3.292334443380331
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,fang_103,fang_dataset,4.257398349203849,1,,4.257398349203849,4.257398349203849
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CHEMBL691,chembl_dataset,0.000349458932114,1,,0.000349458932114,0.000349458932114
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,C#Cc1cn[nH]c1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,E-0014296,openadmet_expansion_train,3.3250360206965914,1,,3.3250360206965914,3.3250360206965914
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,E-0016274,openadmet_expansion_train,3.7977338590260175,1,,3.7977338590260175,3.7977338590260175
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,E-0016026,openadmet_expansion_train,3.242592351485517,1,,3.242592351485517,3.242592351485517
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,E-0016025,openadmet_expansion_train,3.7495040759303713,1,,3.7495040759303713,3.7495040759303713
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,E-0015406,openadmet_expansion_train,3.471966452550362,1,,3.471966452550362,3.471966452550362
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,E-0015405,openadmet_expansion_train,3.214867803470662,1,,3.214867803470662,3.214867803470662
C#Cc1cc(C(=O)NCCCCc2ccccc2)cc(C2SCC(=O)N2c2ccccc2OC)c1,C#Cc1cc(C(=O)NCCCCc2ccccc2)cc(C2SCC(=O)N2c2ccccc2OC)c1,CHEMBL5188710,chembl_dataset,7.482319353915058,1,,7.482319353915058,7.482319353915058
C#Cc1cc(CN2CCN(C(=O)C=C)CC2)cc(F)c1-c1c([O-])cccc1Cl,C#Cc1cc(CN2CCN(C(=O)C=C)CC2)cc(F)c1-c1c(O)cccc1Cl,CHEMBL5436936,chembl_dataset,2.970619572738916,1,,2.970619572738916,2.970619572738916
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011834,openadmet_expansion_train,5.111987788356544,1,,5.111987788356544,5.111987788356544
C#Cc1cc2c(c(F)c1-c1c([O-])cccc1Cl)OC[C@H]1CN(C(=O)C=C)CCN1C2,C#Cc1cc2c(c(F)c1-c1c(O)cccc1Cl)OC[C@H]1CN(C(=O)C=C)CCN1C2,CHEMBL5431111,chembl_dataset,2.859225028899328,1,,2.859225028899328,2.859225028899328
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,CHEMBL1784564,chembl_dataset,2.221808782966758,1,,2.221808782966758,2.221808782966758
C#Cc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,C#Cc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,CHEMBL4759005,chembl_dataset,3.358846441121625,1,,3.358846441121625,3.358846441121625
C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,E-0016139,openadmet_expansion_train,1.5686159179138452,1,,1.5686159179138452,1.5686159179138452
C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,fang_2652,fang_dataset,3.677489838354775,1,,3.677489838354775,3.677489838354775
C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,fang_2122,fang_dataset,3.958162039706144,1,,3.958162039706144,3.958162039706144
C#Cc1cccc(N2C(=O)CSC2c2cccc(C(=O)NCCCCc3ccccc3)c2)c1,C#Cc1cccc(N2C(=O)CSC2c2cccc(C(=O)NCCCCc3ccccc3)c2)c1,CHEMBL5186774,chembl_dataset,6.650315270441105,1,,6.650315270441105,6.650315270441105
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,chembl_dataset,3.0027754123193886,1,,3.0027754123193886,3.0027754123193886
C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,E-0014316,openadmet_expansion_train,3.561046082604052,1,,3.561046082604052,3.561046082604052
C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,E-0017565,openadmet_expansion_train,1.9600947840472696,1,,1.9600947840472696,1.9600947840472696
C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,E-0017351,openadmet_expansion_train,1.547562508716013,1,,1.547562508716013,1.547562508716013
C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,E-0017357,openadmet_expansion_train,0.7419373447293773,1,,0.7419373447293773,0.7419373447293773
C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,E-0017355,openadmet_expansion_train,4.95723451736914,1,,4.95723451736914,4.95723451736914
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,E-0017256,openadmet_expansion_train,3.269568939183719,1,,3.269568939183719,3.269568939183719
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,E-0017254,openadmet_expansion_train,2.9391619220655967,1,,2.9391619220655967,2.9391619220655967
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016669,openadmet_expansion_train,2.1162555148025524,1,,2.1162555148025524,2.1162555148025524
C#Cc1n[n-]c2c(-c3cn(C(C)c4ccccc4)c(=O)[nH]c3=O)cccc12,C#Cc1n[nH]c2c(-c3cn(C(C)c4ccccc4)c(=O)[nH]c3=O)cccc12,CHEMBL5422887,chembl_dataset,2.6503080875309486,1,,2.6503080875309486,2.6503080875309486
C#Cc1n[n-]c2c(-c3cn([C@@H](C)c4ccccn4)c(=O)[nH]c3=O)cc(F)cc12,C#Cc1n[nH]c2c(-c3cn([C@@H](C)c4ccccn4)c(=O)[nH]c3=O)cc(F)cc12,CHEMBL5396112,chembl_dataset,2.970619572738916,1,,2.970619572738916,2.970619572738916
C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[n-]cnc12,C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[nH]cnc12,CHEMBL4786783,chembl_dataset,1.999299245714217,1,,1.999299245714217,1.999299245714217
C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,E-0015606,openadmet_expansion_train,2.6461747973841225,1,,2.6461747973841225,2.6461747973841225
C(#Cc1n[n-]c2ccccc12)c1ccccc1,C(#Cc1n[nH]c2ccccc12)c1ccccc1,CHEMBL1631889,chembl_dataset,3.610377225958979,1,,3.610377225958979,3.610377225958979
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,CHEMBL3410207,chembl_dataset,3.664484297279215,1,,3.664484297279215,3.664484297279215
C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1,CHEMBL3410212,chembl_dataset,2.733847893923351,1,,2.733847893923351,2.733847893923351
C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,fang_1470,fang_dataset,3.686526687507548,1,,3.686526687507548,3.686526687507548
C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,fang_1936,fang_dataset,2.957563007221556,1,,2.957563007221556,2.957563007221556
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4570541,chembl_dataset,3.62886402170395,1,,3.62886402170395,3.62886402170395
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4540607,chembl_dataset,3.5360196074696004,1,,3.5360196074696004,3.5360196074696004
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(Cl)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(Cl)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4544366,chembl_dataset,4.6315199613108735,1,,4.6315199613108735,4.6315199613108735
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(F)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4cc(F)ccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4470932,chembl_dataset,4.189654742026425,1,,4.189654742026425,4.189654742026425
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccc(Cl)cn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccc(Cl)cn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4532662,chembl_dataset,4.214642950244135,1,,4.214642950244135,4.214642950244135
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccccn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4ccccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4570877,chembl_dataset,3.713572066704308,1,,3.713572066704308,3.713572066704308
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)ccnc43)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)ccnc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4454228,chembl_dataset,3.671987586443718,1,,3.671987586443718,3.671987586443718
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)nccc43)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cn3c(C4CC4)nc4c(Cl)nccc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4579147,chembl_dataset,5.121997761949716,1,,5.121997761949716,5.121997761949716
C/C(=C1/c2ccc(Cn3c(C4CC4)nc4cscc43)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cn3c(C4CC4)nc4cscc43)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4461571,chembl_dataset,3.7534960971999087,1,,3.7534960971999087,3.7534960971999087
C/C(=C\c1nc(Cn2cnc3ncccc3c2=O)no1)c1ccc(Cl)cc1,C/C(=C\c1nc(Cn2cnc3ncccc3c2=O)no1)c1ccc(Cl)cc1,CHEMBL3787359,chembl_dataset,3.284663565406204,1,,3.284663565406204,3.284663565406204
C/C(=C\c1nc(Cn2cnc3ncn(C)c3c2=O)no1)c1ccc(Cl)cc1,C/C(=C\c1nc(Cn2cnc3ncn(C)c3c2=O)no1)c1ccc(Cl)cc1,CHEMBL3786010,chembl_dataset,4.37106679443754,1,,4.37106679443754,4.37106679443754
C/C(=N\NC(N)=[NH2+])c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,CHEMBL4455744,chembl_dataset,3.6323725926734975,1,,3.6323725926734975,3.6323725926734975
C/C(=N\NC1=[NH+]CCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,CHEMBL4461960,chembl_dataset,3.79513856591329,1,,3.79513856591329,3.79513856591329
C/C(=N\[N-]C(=O)C(NC(=O)c1ccccc1)c1n[n-]c(=O)c2ccccc12)c1cccc(Br)c1,C/C(=N\NC(=O)C(NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1,CHEMBL493076,chembl_dataset,3.021984644698057,1,,3.021984644698057,3.021984644698057
C/C(=N\[N-]C(=O)C1C(=O)NC[C@H]1c1ccccc1)c1cccc(Br)c1,C/C(=N\NC(=O)[C@@H]1C(=O)NC[C@H]1c1ccccc1)c1cccc(Br)c1,CHEMBL494502,chembl_dataset,2.327472808501825,1,,2.327472808501825,2.327472808501825
C/C(=N\[N-]C(=O)Nc1nc2ccc(CN3CCC(C)CC3)cc2s1)c1ccccn1,C/C(=N\NC(=O)Nc1nc2ccc(CN3CCC(C)CC3)cc2s1)c1ccccn1,CHEMBL4569152,chembl_dataset,3.1488824530476656,1,,3.1488824530476656,3.1488824530476656
C/C=C(/F)C(=O)N[C@H](c1cn2ncc([C@@H](COC)N3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1,C/C=C(/F)C(=O)N[C@H](c1cn2ncc([C@@H](COC)N3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1,CHEMBL5595623,chembl_dataset,5.102618734312404,1,,5.102618734312404,5.102618734312404
C/C=C(\F)C(=O)N[C@H](c1cn2ncc([C@@H](COC)N3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1,C/C=C(\F)C(=O)N[C@H](c1cn2ncc([C@@H](COC)N3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1,CHEMBL5583833,chembl_dataset,4.538175317163813,1,,4.538175317163813,4.538175317163813
C/C=C/C(=O)N1CC=C(c2c[nH]c3ncnc(-c4cc(F)cc(NC(=O)c5ccc(C6CC6)cc5)c4C)c23)CC1,C/C=C/C(=O)N1CC=C(c2c[nH]c3ncnc(-c4cc(F)cc(NC(=O)c5ccc(C6CC6)cc5)c4C)c23)CC1,CHEMBL4789435,chembl_dataset,0.3777512695406486,1,,0.3777512695406486,0.3777512695406486
C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)[nH]n2)CC1,C/C=C/CC(=O)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,fang_1158,fang_dataset,3.969687957114103,1,,3.969687957114103,3.969687957114103
C/C=C/c1cnc(C(=O)NCCOC)cc1Nc1ccccc1F,C/C=C/c1cnc(C(=O)NCCOC)cc1Nc1ccccc1F,CHEMBL5189883,chembl_dataset,4.170317460985335,1,,4.170317460985335,4.170317460985335
C/[NH+]=C(\NC#N)NCCSCc1nc[n-]c1C,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,fang_1721,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
C1=C(CS/C(NC2CCCCC2)=[NH+]\C2CCCCC2)N2CC[NH+]=C2S1,C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,CHEMBL452864,chembl_dataset,3.978334953114859,1,,3.978334953114859,3.978334953114859
C1=C(c2cc3ncc(-c4ccc(OCCN5CCCCC5)cc4)cn3n2)CCOC1,C1=C(c2cc3ncc(-c4ccc(OCCN5CCCCC5)cc4)cn3n2)CCOC1,E-0017147,openadmet_expansion_train,3.779633817382401,1,,3.779633817382401,3.779633817382401
C1=CCC(c2cc3ccccc3o2)CNC1,C1=CCC(c2cc3ccccc3o2)CNC1,CHEMBL2326690,chembl_dataset,4.458107659079217,1,,4.458107659079217,4.458107659079217
C1=CCC(c2ccc3ccccc3c2)CNC1,C1=CCC(c2ccc3ccccc3c2)CNC1,CHEMBL2322001,chembl_dataset,4.581205308534259,1,,4.581205308534259,4.581205308534259
C1CCC(OCc2noc(C3CC3)n2)CC1,C1CCC(OCc2noc(C3CC3)n2)CC1,fang_1497,fang_dataset,3.556632951038603,1,,3.556632951038603,3.556632951038603
C1CN(c2nc3c(c(N4CCSCC4)n2)SCC3)CCS1,C1CN(c2nc3c(c(N4CCSCC4)n2)SCC3)CCS1,fang_1913,fang_dataset,4.842003602950244,1,,4.842003602950244,4.842003602950244
C=C(C)COc1ccc(C(=O)NCCc2cn3ccccc3n2)cc1,C=C(C)COc1ccc(C(=O)NCCc2cn3ccccc3n2)cc1,fang_1678,fang_dataset,4.758509108067992,1,,4.758509108067992,4.758509108067992
