activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2148387,CHEMBL257557,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)cc(N)c2c(-c2ccc(F)cc2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,154.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
6390768,CHEMBL1473,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1838805,CHEMBL1833833,2011,CL,=,300.0,mL.min-1.g-1,,,A,Metabolic stability of compound in human liver microsomes assessed as unbound intrinsic clearance by equilibrium dialysis,metabolic stability of compound in human liver microsomes assessed as unbound intrinsic clearance by equilibrium dialysis | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
6390770,CHEMBL1834544,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]1[C@@H]3C[C@H]4O[C@@H](c5ccc(CSc6ccc(O)c(Cl)c6)cc5)O[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1838805,CHEMBL1833833,2011,CL,=,121000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability of compound in human liver microsomes assessed as unbound intrinsic clearance by equilibrium dialysis,metabolic stability of compound in human liver microsomes assessed as unbound intrinsic clearance by equilibrium dialysis | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
8021578,CHEMBL1946807,CC(c1nnc(-c2cccc(F)c2)o1)N1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1947981,CHEMBL1944520,2012,CL,=,115.0,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes,unbound intrinsic clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
8021579,CHEMBL1946808,C[C@@H](c1nnc(-c2ccccc2)o1)N1CC(C)(C)[C@@H](Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1947981,CHEMBL1944520,2012,CL,=,43.87,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes,unbound intrinsic clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
8021580,CHEMBL1946809,CC1(C)CN(Cc2nnc(-c3ccccc3)o2)C(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1947981,CHEMBL1944520,2012,CL,=,19.3,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes,unbound intrinsic clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
8021581,CHEMBL1946811,CC1(C)CN(CCC#N)C(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL1947981,CHEMBL1944520,2012,CL,=,19.1,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes,unbound intrinsic clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unbound
12170304,CHEMBL209478,CN(C)Cc1ccc(-c2ccc(CN(C)C)cc2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2208783,CHEMBL2203251,2011,CL,=,219.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes,unbound intrinsic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442806,CHEMBL1916336,CC1(C)C[C@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)O1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,64.4,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442808,CHEMBL1916332,NC(=O)[C@@H](CCC(F)(F)F)N(C[C@H]1CCO1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,63.8,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442809,CHEMBL1916337,CC1(C)C[C@@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)O1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,57.6,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442810,CHEMBL1916333,NC(=O)[C@@H](CCC(F)(F)F)N(CC1COC1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,35.8,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442811,CHEMBL1916330,NC(=O)[C@@H](CCC(F)(F)F)N(C[C@@H]1CCOC1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,110.0,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442812,CHEMBL1916331,NC(=O)[C@@H](CCC(F)(F)F)N(C[C@@H]1CCO1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,83.9,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442813,CHEMBL1916328,NC(=O)[C@@H](CCC(F)(F)F)N(C[C@@H]1CCCO1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,323.0,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
13442814,CHEMBL1916319,NC(=O)[C@@H](CCC(F)(F)F)N(CC1CCC1)S(=O)(=O)c1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL2428886,CHEMBL2424613,2013,CL,=,508.8,mL.min-1.kg-1,,,A,Intrinsic unbound clearence in human liver microsomes,intrinsic unbound clearence in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
15470117,CHEMBL1017,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,smiles_found,CHEMBL3542435,UDP-glucuronosyltransferase 1A3,CHEMBL3541511,CHEMBL3526056,2012,CL,=,15.8,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A3-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 1% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a3-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 1% bovine serum albumin | | udp-glucuronosyltransferase 1a3 | ml.min-1.g-1,chembl_hlm_unbound
15470118,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,smiles_found,CHEMBL1743319,UDP-glucuronosyltransferase 1A9,CHEMBL3541510,CHEMBL3526056,2012,CL,=,8.05,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9-mediated unbound intrinsic glucuronidation clearance at 5 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 2% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a9-mediated unbound intrinsic glucuronidation clearance at 5 um after 30 to 60 mins by lc-ms/ms analysis in presence of 2% bovine serum albumin | | udp-glucuronosyltransferase 1a9 | ml.min-1.g-1,chembl_hlm_unbound
15470119,CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,smiles_found,CHEMBL612558,ADMET,CHEMBL3541509,CHEMBL3526056,2012,CL,=,2.22,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A8/2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 2% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a8/2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 2% bovine serum albumin | | admet | ml.min-1.g-1,chembl_hlm_unbound
15470120,CHEMBL866,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,smiles_found,CHEMBL1743319,UDP-glucuronosyltransferase 1A9,CHEMBL3541508,CHEMBL3526056,2012,CL,=,9.32,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 1% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a9-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 1% bovine serum albumin | | udp-glucuronosyltransferase 1a9 | ml.min-1.g-1,chembl_hlm_unbound
15470121,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,smiles_found,CHEMBL4370,UDP-glucuronosyltransferase 2B7,CHEMBL3541507,CHEMBL3526056,2012,CL,=,73.6,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 1% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 1% bovine serum albumin | | udp-glucuronosyltransferase 2b7 | ml.min-1.g-1,chembl_hlm_unbound
15470122,CHEMBL1138,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,smiles_found,CHEMBL1287617,UDP-glucuronosyltransferase 1A1,CHEMBL3541506,CHEMBL3526056,2012,CL,=,207.0,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A1-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 2% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a1-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 2% bovine serum albumin | | udp-glucuronosyltransferase 1a1 | ml.min-1.g-1,chembl_hlm_unbound
15470123,CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,smiles_found,CHEMBL612558,ADMET,CHEMBL3541505,CHEMBL3526056,2012,CL,=,47.4,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9/2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of 1% bovine serum albumin,drug metabolism in human liver microsomes assessed as ugt1a9/2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis in presence of 1% bovine serum albumin | | admet | ml.min-1.g-1,chembl_hlm_unbound
15447441,CHEMBL1254766,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3538219,CHEMBL3526083,2012,CL,=,12.0,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as dextrophan-O-glucuronide formation measured as intrinsic unbound clearance in presence of 2% BSA,drug metabolism in human liver microsomes assessed as dextrophan-o-glucuronide formation measured as intrinsic unbound clearance in presence of 2% bsa | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15447447,CHEMBL1254766,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3538213,CHEMBL3526083,2012,CL,=,2.9,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as dextrophan-O-glucuronide formation measured as intrinsic unbound clearance,drug metabolism in human liver microsomes assessed as dextrophan-o-glucuronide formation measured as intrinsic unbound clearance | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15447453,CHEMBL1254766,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3538207,CHEMBL3526083,2012,CL,=,0.95,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as 3-hydroxymorphinan formation measured as intrinsic unbound clearance,drug metabolism in human liver microsomes assessed as 3-hydroxymorphinan formation measured as intrinsic unbound clearance | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15447459,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3540995,CHEMBL3526083,2012,CL,=,14.0,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as dextrorphan formation measured as intrinsic unbound clearance,drug metabolism in human liver microsomes assessed as dextrorphan formation measured as intrinsic unbound clearance | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15470160,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,smiles_found,CHEMBL1743319,UDP-glucuronosyltransferase 1A9,CHEMBL3539809,CHEMBL3526056,2012,CL,=,2.71,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9-mediated unbound intrinsic glucuronidation clearance at 5 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt1a9-mediated unbound intrinsic glucuronidation clearance at 5 um after 30 to 60 mins by lc-ms/ms analysis | | udp-glucuronosyltransferase 1a9 | ml.min-1.g-1,chembl_hlm_unbound
15470161,CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,smiles_found,CHEMBL612558,ADMET,CHEMBL3539808,CHEMBL3526056,2012,CL,=,0.402,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A8/2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt1a8/2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis | | admet | ml.min-1.g-1,chembl_hlm_unbound
15470162,CHEMBL866,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,smiles_found,CHEMBL1743319,UDP-glucuronosyltransferase 1A9,CHEMBL3539807,CHEMBL3526056,2012,CL,=,3.13,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt1a9-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis | | udp-glucuronosyltransferase 1a9 | ml.min-1.g-1,chembl_hlm_unbound
15470163,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,smiles_found,CHEMBL4370,UDP-glucuronosyltransferase 2B7,CHEMBL3539806,CHEMBL3526056,2012,CL,=,10.4,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis | | udp-glucuronosyltransferase 2b7 | ml.min-1.g-1,chembl_hlm_unbound
15470164,CHEMBL1138,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,smiles_found,CHEMBL1287617,UDP-glucuronosyltransferase 1A1,CHEMBL3539805,CHEMBL3526056,2012,CL,=,117.0,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A1-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt1a1-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis | | udp-glucuronosyltransferase 1a1 | ml.min-1.g-1,chembl_hlm_unbound
15470165,CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,smiles_found,CHEMBL612558,ADMET,CHEMBL3539804,CHEMBL3526056,2012,CL,=,30.5,mL.min-1.g-1,,,A,Drug metabolism in human liver microsomes assessed as UGT1A9/2B7-mediated unbound intrinsic glucuronidation clearance at 1 uM after 30 to 60 mins by LC-MS/MS analysis,drug metabolism in human liver microsomes assessed as ugt1a9/2b7-mediated unbound intrinsic glucuronidation clearance at 1 um after 30 to 60 mins by lc-ms/ms analysis | | admet | ml.min-1.g-1,chembl_hlm_unbound
15468910,CHEMBL3527359,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3537942,CHEMBL3526122,2012,CL,=,0.0174,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of UDPGA and absence of fatty acid free BSA,unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of udpga and absence of fatty acid free bsa | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15468911,CHEMBL3527359,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3537943,CHEMBL3526122,2012,CL,=,0.184,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of UDPGA and 0.1% fatty acid free BSA,unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of udpga and 0.1% fatty acid free bsa | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
15468912,CHEMBL3527359,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1.O=C(O)CCC(=O)O,smiles_found,CHEMBL2367379,Liver microsome,CHEMBL3537944,CHEMBL3526122,2012,CL,=,0.184,mL.min-1.g-1,,,A,Unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of UDPGA and 0.5% fatty acid free BSA,unbound intrinsic clearance in human liver microsomes assessed per mg of protein after 10 mins in presence of udpga and 0.5% fatty acid free bsa | | liver microsome | ml.min-1.g-1,chembl_hlm_unbound
