activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
489476,CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618995,CHEMBL1146635,2003,CL,=,332.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1457046,CHEMBL425358,NC(=O)N(O)CCC#Cc1ccc(OCCN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL828361,CHEMBL1137052,2004,CL,=,2.0,mL.min-1.g-1,,,A,Metabolic clearance in human liver microsomes,metabolic clearance in human liver microsomes | | admet | ml.min-1.g-1,chembl_hlm_unknown
1457154,CHEMBL187264,NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL828361,CHEMBL1137052,2004,CL,=,0.0,mL.min-1.g-1,,,A,Metabolic clearance in human liver microsomes,metabolic clearance in human liver microsomes | | admet | ml.min-1.g-1,chembl_hlm_unknown
1457174,CHEMBL444083,NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL828361,CHEMBL1137052,2004,CL,=,13.0,mL.min-1.g-1,,,A,Metabolic clearance in human liver microsomes,metabolic clearance in human liver microsomes | | admet | ml.min-1.g-1,chembl_hlm_unknown
1462214,CHEMBL251030,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,smiles_found,CHEMBL612558,ADMET,CHEMBL839366,CHEMBL1137205,2004,CL,=,156.0,mL.min-1.kg-1,,,A,Clearance in human liver microsomes when incubated at 37 degree Celsius in the presence of NADPH-generating system,clearance in human liver microsomes when incubated at 37 degree celsius in the presence of nadph-generating system | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1483607,CHEMBL359803,C[C@H](O)[C@@H](CCc1cccc2nc(-c3ccc(Cl)cc3)oc12)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL827498,CHEMBL1140324,2005,CL,=,34.0,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1485431,CHEMBL93560,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL827498,CHEMBL1140324,2005,CL,=,45.0,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1485444,CHEMBL328139,C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL827498,CHEMBL1140324,2005,CL,=,4.5,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1485456,CHEMBL436332,C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL827498,CHEMBL1140324,2005,CL,=,12.0,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1683150,CHEMBL201799,CCCCCSc1nc(O)c2sc(N)nc2n1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL862384,CHEMBL1149469,2006,CL,=,18.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1683151,CHEMBL380947,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL862384,CHEMBL1149469,2006,CL,=,31.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1683152,CHEMBL274737,CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL862384,CHEMBL1149469,2006,CL,=,6.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1683153,CHEMBL370387,Nc1nc2nc(SCc3cccc(F)c3F)nc(O)c2s1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL862384,CHEMBL1149469,2006,CL,=,2.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1710563,CHEMBL208505,Fc1ccc(-c2nccc(Sc3ccc(Cl)c(Cl)c3)n2)nc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL865708,CHEMBL1146979,2006,CL,=,140.0,mL.min-1.g-1,,,A,Clearance in human liver microsomes,clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1710569,CHEMBL208391,Clc1ccc(Sc2ccnc(-c3ccccn3)n2)cc1Cl,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL865708,CHEMBL1146979,2006,CL,=,90.0,mL.min-1.g-1,,,A,Clearance in human liver microsomes,clearance in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1711652,CHEMBL205447,COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C3(c4ccccc4)CCNCC3)CC2)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL870778,CHEMBL1147650,2006,CL,=,10.0,mL.min-1.kg-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1909355,CHEMBL227150,Nc1ccc2cccc(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2n1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL890312,CHEMBL1145459,2007,CL,=,183.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes assessed as clearance,metabolic stability in human liver microsomes assessed as clearance | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1909415,CHEMBL226724,FC(F)(F)c1ccc(-c2cc(Oc3ccc4cccnc4c3)ncn2)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL890312,CHEMBL1145459,2007,CL,=,250.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes assessed as clearance,metabolic stability in human liver microsomes assessed as clearance | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1961698,CHEMBL234606,CC(C)(O)CC[C@@H](CN)C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,5.0,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961745,CHEMBL430166,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CS(=O)(=O)O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.7,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961746,CHEMBL234263,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)CCC(=O)O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.7,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961747,CHEMBL391239,COS(=O)(=O)NC(=O)Cc1cc(Cl)ccc1OCC(=O)N1C[C@H](C)N(Cc2ccc(F)cc2)C[C@H]1C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.7,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961748,CHEMBL234262,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CC(=O)O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.7,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961749,CHEMBL391238,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1NC(=O)NCCN,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.9,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961750,CHEMBL391302,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)NCCN,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,5.9,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961751,CHEMBL391301,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,4.7,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961752,CHEMBL234622,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,14.0,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1961753,CHEMBL232656,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893668,CHEMBL1147927,2007,CL,=,16.0,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1963362,CHEMBL234412,CCCC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1N,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893075,CHEMBL1147972,2007,CL,=,0.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1963753,CHEMBL391070,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(C)c3)CN1CC2,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL893075,CHEMBL1147972,2007,CL,=,3000.0,mL.min-1.g-1,,,A,Clearance in human liver microsome,clearance in human liver microsome | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
1965421,CHEMBL410414,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL897256,CHEMBL1148857,2007,CL,=,7.0,mL.min-1.kg-1,,,A,Clearance in human liver microsomes,clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994786,CHEMBL401250,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,13.4,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994796,CHEMBL240364,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN)C(C)C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,9.2,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994797,CHEMBL240780,CNCCC(=O)N[C@H](c1cc(C)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1)C(C)C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,4.8,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994798,CHEMBL427860,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,12.2,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994799,CHEMBL240572,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3C)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,16.6,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994800,CHEMBL391056,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3F)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,16.0,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
1994801,CHEMBL240571,CNCC(=O)N[C@H](c1cc(C)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2F)CC1)C(C)C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL900787,CHEMBL1137579,2007,CL,=,12.4,mL.min-1.kg-1,,,A,Scaled systemic clearance in human liver microsomes,scaled systemic clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2006660,CHEMBL266647,CC(C)C[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL901397,CHEMBL1138325,2007,CL,=,18.5,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes assessed as systemic clearance,metabolic stability in human liver microsomes assessed as systemic clearance | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2018618,CHEMBL239800,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,100.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018619,CHEMBL391604,CN1CC(=O)N/C1=N\C(=O)Nc1csc(Cl)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,55.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018620,CHEMBL246234,Cc1cnccc1NC(=O)/N=C1\NC(=O)CN1C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,2.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018621,CHEMBL381820,Cc1cccnc1NC(=O)NC1=NC(=O)CN1C,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,29.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018622,CHEMBL245607,CN1CC(=O)N/C1=N\C(=O)Nc1ccncc1Cl,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,15.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018623,CHEMBL245606,CN1CC(=O)N/C1=N\C(=O)Nc1ncccc1Cl,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,42.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018624,CHEMBL245403,CN1CC(=O)N/C1=N\C(=O)Nc1ccncc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,11.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018625,CHEMBL239802,CN1CC(=O)N/C1=N\C(=O)Nc1cccnc1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,20.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2018626,CHEMBL391401,CN1CC(=O)N/C1=N\C(=O)Nc1ccccn1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL885958,CHEMBL1139085,2007,CL,=,47.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2097122,CHEMBL272068,Cn1nnnc1-c1cc(NC(=O)NCCCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)(C)C(=O)O)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL947060,CHEMBL1142350,2008,CL,=,12.0,mL.min-1.kg-1,,,A,Metabolic stability assessed as clearance in human liver microsomes,metabolic stability assessed as clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2097123,CHEMBL404618,C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2nnnn2C)cc(C(C)(C)C(=O)O)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL947060,CHEMBL1142350,2008,CL,=,12.0,mL.min-1.kg-1,,,A,Metabolic stability assessed as clearance in human liver microsomes,metabolic stability assessed as clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2097124,CHEMBL257074,CCC[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2nnnn2C)cc(C(C)(C)O)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL947060,CHEMBL1142350,2008,CL,=,17.0,mL.min-1.kg-1,,,A,Metabolic stability assessed as clearance in human liver microsomes,metabolic stability assessed as clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2097125,CHEMBL270146,CC[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2nnnn2C)cc(C(C)(C)O)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL947060,CHEMBL1142350,2008,CL,=,15.0,mL.min-1.kg-1,,,A,Metabolic stability assessed as clearance in human liver microsomes,metabolic stability assessed as clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2097131,CHEMBL258156,C[C@H](C[C@@H](C)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL947060,CHEMBL1142350,2008,CL,=,20.0,mL.min-1.kg-1,,,A,Metabolic stability assessed as clearance in human liver microsomes,metabolic stability assessed as clearance in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
2106238,CHEMBL272401,CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL948012,CHEMBL1142268,2008,CL,=,54.0,mL.min-1.g-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.g-1,chembl_hlm_unknown
2107098,CHEMBL257670,COc1cc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)cc(OC)c1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL930534,CHEMBL1142297,2008,CL,=,78.0,mL.min-1.kg-1,,,A,Metabolic stability in human liver microsomes,metabolic stability in human liver microsomes | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unknown
