activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2271795,CHEMBL460108,Cc1nnc([C@](F)([C@H]2Cc3[nH]c4ccc(Cl)cc4c3C2)S(=O)(=O)c2ccccc2)o1,smiles_found,CHEMBL612558,ADMET,CHEMBL1015311,CHEMBL1153298,2009,CL,=,59.0,mL.min-1.kg-1,,,A,Metabolic stability in mouse liver microsomes assessed as compound clearance,metabolic stability in mouse liver microsomes assessed as compound clearance | | admet | cl | ml.min-1.kg-1,chembl_mlm_unknown
6201849,CHEMBL1779201,CC1(C)c2cc(N3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,15.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201850,CHEMBL1779202,CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,10.4,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339212,CHEMBL1823220,C#Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,2.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339213,CHEMBL1823219,Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,7.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339214,CHEMBL1779201,CC1(C)c2cc(N3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,15.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339287,CHEMBL1823221,CCc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,4.5,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339288,CHEMBL1823222,CCCc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,4.7,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339289,CHEMBL1823223,CC(C)c1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,4.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6339290,CHEMBL1823361,CC1(C)c2cc(N3CCN(C4COC4)CC3)c(CCC3CCCC3)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1828002,CHEMBL1821705,2011,CL,=,44.7,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 1 uM after 30 mins by LC/MS analysis in the presence of NADPH,clearance in mouse liver microsome at 1 um after 30 mins by lc/ms analysis in the presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039075,CHEMBL1952361,COc1ccc(C(N)=O)cc1C(=O)Nc1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,16.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039076,CHEMBL1952362,COc1ccc(C(N)=O)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,110.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039077,CHEMBL1952363,COc1ccc(C(N)=O)cc1/C=C\c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,544.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039078,CHEMBL1952357,COc1ccc(C(N)=O)cc1COc1ccc(Cl)c(C)c1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,414.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039079,CHEMBL1952358,COc1ccc(C(N)=O)cc1COc1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,97.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039080,CHEMBL1949778,CCOc1ccc(C(N)=O)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,123.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039081,CHEMBL1949779,CCCOc1ccc(C(N)=O)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,83.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039082,CHEMBL1949780,NC(=O)c1ccc(OCCOCCO)c(/C=C/c2ccc(Cl)cc2)c1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,247.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039083,CHEMBL1949781,CN(C)CCOc1ccc(C(N)=O)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,288.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039084,CHEMBL1949782,CN1CCN(CCOc2ccc(C(N)=O)cc2/C=C/c2ccc(Cl)cc2)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,251.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039085,CHEMBL1949783,CNC(=O)c1ccc(OC)c(/C=C/c2ccc(Cl)cc2)c1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,331.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039087,CHEMBL1949785,CCNC(=O)c1ccc(OC)c(/C=C/c2ccc(Cl)cc2)c1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,187.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039088,CHEMBL1949786,COc1ccc(C(=O)NCCO)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,73.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039089,CHEMBL1949787,COc1ccc(C(=O)NCC(O)CO)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,10.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039090,CHEMBL1949788,COc1ccc(C(=O)NC[C@@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,7.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039091,CHEMBL1949789,COc1ccc(C(=O)NC[C@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,12.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
8039092,CHEMBL1949790,COc1ccc(C(=O)NC(CO)CO)cc1/C=C/c1ccc(Cl)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL1955120,CHEMBL1949587,2012,CL,=,8.0,mL.min-1.g-1,,,A,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,clearance in mouse liver microsome at 5 um after 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
10837423,CHEMBL111846,CC1(C)C[C@H](O)C[C@](C)(CNC(=O)c2ccccc2O)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,76.7,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837424,CHEMBL2011756,CC1(C)C[C@H](O)C[C@](C)(CNc2n[nH]c3ccccc23)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,45.2,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837425,CHEMBL2011757,CC1(C)C[C@H](O)C[C@](C)(CNc2ncc3ccccc3n2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,82.9,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837426,CHEMBL2011758,CC1(C)C[C@H](O)C[C@](C)(CNc2nc3ccccc3s2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,85.4,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837427,CHEMBL2011759,CC1(C)C[C@H](O)C[C@](C)(CNc2nc3ccc(F)cc3s2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,78.2,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837428,CHEMBL2011761,CC1(C)C[C@H](O)C[C@](C)(CNc2ccccn2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,80.6,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837429,CHEMBL2011763,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(F)(F)F)n2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,82.3,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837430,CHEMBL2011764,CC1(C)C[C@H](O)C[C@](C)(CNc2ccccc2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,85.6,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837431,CHEMBL2011766,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(Cl)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,86.1,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837432,CHEMBL2011769,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(F)(F)F)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,83.8,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837433,CHEMBL2011770,CC1(C)C[C@H](O)C[C@](C)(CNc2cc(Cl)cc(C(F)(F)F)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,49.8,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837434,CHEMBL2011771,CC1(C)C[C@H](O)C[C@](C)(CNc2cc(F)cc(Cl)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,85.1,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837435,CHEMBL2011772,CC1(C)C[C@H](O)C[C@](C)(CNc2ccc(Cl)c(C(F)(F)F)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,62.4,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837436,CHEMBL2011773,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C#N)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,84.0,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837437,CHEMBL2011775,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(N)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,43.0,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837438,CHEMBL2011776,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(S(C)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,65.3,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837439,CHEMBL2011777,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(S(N)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,37.2,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837440,CHEMBL2011778,CC1(C)C[C@H](O)C[C@](C)(CNc2cc(F)cc(S(N)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,42.3,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837441,CHEMBL2011779,CC1(C)C[C@H](O)C[C@](C)(CNc2cc(Cl)cc(S(N)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,51.8,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837442,CHEMBL2011780,CC1(C)C[C@H](O)C[C@](C)(CNc2cc(C(F)(F)F)cc(S(N)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,39.6,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837443,CHEMBL2011781,Cc1ccc(NC[C@@]2(C)C[C@@H](O)CC(C)(C)C2)cc1S(N)(=O)=O,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,43.7,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837444,CHEMBL2011782,COc1ccc(NC[C@@]2(C)C[C@@H](O)CC(C)(C)C2)cc1S(N)(=O)=O,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,66.4,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10837445,CHEMBL2011783,CC1(C)C[C@H](O)C[C@](C)(CNc2ccc(Cl)c(S(N)(=O)=O)c2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2015867,CHEMBL2010786,2011,CL,=,42.5,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes at 1 uM,clearance in mouse liver microsomes at 1 um | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
10840283,CHEMBL2012943,Cc1cccc2c1nc(C)n2-c1ccc(C(=O)NC2CC2)s1,smiles_found,CHEMBL613580,Liver,CHEMBL2014784,CHEMBL2010768,2011,CL,=,66.0,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes by LC-MS/MS analysis,clearance in mouse liver microsomes by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_unknown
