,SMILES,LOG HLM_CLint (mL/min/kg),hlm_value_unscaled,hlm_value_unscaled_log1p,hlm_value_scaled,hlm_value_scaled_log1p,dataset,data_year
16,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.048286393,11.175999997268997,2.499466800895036,11.175999997268997,2.499466800895036,fang_dataset,2023
17,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,0.983626287,9.629999997238585,2.363680192094081,9.629999997238585,2.363680192094081,fang_dataset,2023
18,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,1.226135722,16.831999981642884,2.8809945950541196,16.831999981642884,2.8809945950541196,fang_dataset,2023
19,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,2.56594576,368.08300007037445,5.911021551187058,368.08300007037445,5.911021551187058,fang_dataset,2023
20,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
21,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,0.860996437,7.26100000405946,2.1115456460717685,7.26100000405946,2.1115456460717685,fang_dataset,2023
22,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
23,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,2.282135893,191.48549993684296,5.260020825887355,191.48549993684296,5.260020825887355,fang_dataset,2023
24,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,1.066176786,11.646000006113853,2.537340960119883,11.646000006113853,2.537340960119883,fang_dataset,2023
25,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,1.05709529,11.405000010171733,2.5180996179637347,11.405000010171733,2.5180996179637347,fang_dataset,2023
26,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
27,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
28,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
29,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,0.932980822,8.570000001515542,2.2586332056232266,8.570000001515542,2.2586332056232266,fang_dataset,2023
30,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,0.990827051,9.791000009751022,2.378712454285222,9.791000009751022,2.378712454285222,fang_dataset,2023
31,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.329092647,21.334999990404242,3.1061549543744533,21.334999990404242,3.1061549543744533,fang_dataset,2023
32,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,1.761739954,57.77499997989265,4.073716594084026,57.77499997989265,4.073716594084026,fang_dataset,2023
33,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.219660482,165.82900007053016,5.11696933614663,165.82900007053016,5.11696933614663,fang_dataset,2023
34,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,2.728516916,535.2009997275958,6.284509090267849,535.2009997275958,6.284509090267849,fang_dataset,2023
35,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,1.620136055,41.70000000251974,3.754198920293589,41.70000000251974,3.754198920293589,fang_dataset,2023
36,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,1.427680816,26.77199997956706,3.324028318155288,26.77199997956706,3.324028318155288,fang_dataset,2023
37,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
38,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,0.876967967,7.532999992496654,2.1439409986751152,7.532999992496654,2.1439409986751152,fang_dataset,2023
39,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,2.57963614,379.87099996608316,5.942460735028429,379.87099996608316,5.942460735028429,fang_dataset,2023
40,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,0.909876818,8.126000000179758,2.2111274825249083,8.126000000179758,2.2111274825249083,fang_dataset,2023
41,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,2.601584178,399.56199971011364,5.992868560295311,399.56199971011364,5.992868560295311,fang_dataset,2023
42,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,1.710749017,51.37466665860762,3.95842301370859,51.37466665860762,3.95842301370859,fang_dataset,2023
43,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
44,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,1.034949147,10.838000008076271,2.471314696950766,10.838000008076271,2.471314696950766,fang_dataset,2023
45,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,1.543708051,34.970999984671764,3.582713057840198,34.970999984671764,3.582713057840198,fang_dataset,2023
46,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,2.121697694,132.3420001304543,4.8929172573058075,132.3420001304543,4.8929172573058075,fang_dataset,2023
47,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.021644036,10.510999997883664,2.4433030997490714,10.510999997883664,2.4433030997490714,fang_dataset,2023
48,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
49,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,1.878648159,75.62199998120354,4.3388842415317255,75.62199998120354,4.3388842415317255,fang_dataset,2023
50,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,2.885344821,767.9710007404084,6.645053258444016,767.9710007404084,6.645053258444016,fang_dataset,2023
51,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,2.032792967,107.84324989292256,4.689908772830919,107.84324989292256,4.689908772830919,fang_dataset,2023
52,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
53,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,2.596224212,394.6610000224004,5.980557784075902,394.6610000224004,5.980557784075902,fang_dataset,2023
54,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,1.609647759,40.70499999262145,3.730621025516653,40.70499999262145,3.730621025516653,fang_dataset,2023
55,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,1.727004157,53.334000051166285,3.995150182943727,53.334000051166285,3.995150182943727,fang_dataset,2023
56,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
57,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
58,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,0.777789187,5.99499999399709,1.9451956072592729,5.99499999399709,1.9451956072592729,fang_dataset,2023
59,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
60,C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,1.561387637,36.423999974828,3.622312209169207,36.423999974828,3.622312209169207,fang_dataset,2023
61,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.993700695,9.856000004077023,2.384717922908123,9.856000004077023,2.384717922908123,fang_dataset,2023
62,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,2.347780667,222.7310000355392,5.410444437507111,222.7310000355392,5.410444437507111,fang_dataset,2023
63,OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,0.991226076,9.800000006938957,2.37954613477267,9.800000006938957,2.37954613477267,fang_dataset,2023
64,Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,2.372418541,235.732000075093,5.466928699925947,235.732000075093,5.466928699925947,fang_dataset,2023
65,OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
66,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,1.633670406,43.019999994904126,3.784644075982553,43.019999994904126,3.784644075982553,fang_dataset,2023
67,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,1.928436822,84.80800009729306,4.452112243374415,84.80800009729306,4.452112243374415,fang_dataset,2023
68,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,3.096213889,1247.9979989623325,7.1300969080124705,1247.9979989623325,7.1300969080124705,fang_dataset,2023
69,COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,2.24496946,175.77999994487425,5.174906021320969,175.77999994487425,5.174906021320969,fang_dataset,2023
70,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
71,OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,1.314330783,20.622000022751013,3.073711315922796,20.622000022751013,3.073711315922796,fang_dataset,2023
72,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
73,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1.281601444,19.125000007677613,3.0019628236861235,19.125000007677613,3.0019628236861235,fang_dataset,2023
74,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
75,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,2.572128951,373.3609999301527,5.925220572324469,373.3609999301527,5.925220572324469,fang_dataset,2023
76,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,0.713490543,5.169999998881675,1.8196988377360444,5.169999998881675,1.8196988377360444,fang_dataset,2023
77,O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,2.186163547,153.51949990476953,5.0403203013494675,153.51949990476953,5.0403203013494675,fang_dataset,2023
78,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.074597045,11.874000011208675,2.5552097745010687,11.874000011208675,2.5552097745010687,fang_dataset,2023
79,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,1.209407768,16.195999996405888,2.8446767984250263,16.195999996405888,2.8446767984250263,fang_dataset,2023
80,CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,1.917836225,82.76300007223409,4.427991383402156,82.76300007223409,4.427991383402156,fang_dataset,2023
81,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
82,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,0.857242009,7.1985000001972015,2.1039512107318394,7.1985000001972015,2.1039512107318394,fang_dataset,2023
83,CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,1.676446677,47.47299996601559,3.881006941195857,47.47299996601559,3.881006941195857,fang_dataset,2023
84,NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,0.957559402,9.069000002140847,2.3094613971460953,9.069000002140847,2.3094613971460953,fang_dataset,2023
85,Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,1.503858749,31.905000003055346,3.493624622000936,31.905000003055346,3.493624622000936,fang_dataset,2023
86,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.177074546,15.034000003112896,2.774711467814903,15.034000003112896,2.774711467814903,fang_dataset,2023
87,COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,1.998886781,99.744000092615,4.612582646622855,99.744000092615,4.612582646622855,fang_dataset,2023
88,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,2.398082434,250.08200005433565,5.525779579222669,250.08200005433565,5.525779579222669,fang_dataset,2023
89,Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,1.208387604,16.158000007621325,2.8424645375949584,16.158000007621325,2.8424645375949584,fang_dataset,2023
90,Cc1nc(Nc2nccs2)cc(C2CN(c3ncccn3)C2)n1,1.481858091,30.328999992975337,3.444544185941299,30.328999992975337,3.444544185941299,fang_dataset,2023
91,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1Cl,1.724816353,53.06600003825878,3.9902055231885862,53.06600003825878,3.9902055231885862,fang_dataset,2023
92,COc1ccc(CCCN2CCN(c3cnn(C)c3)C(=O)C2)cc1F,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
93,Cc1noc(C(C)C)c1C(=O)N1CC(C)OC(c2ccccc2)C1,1.852187112,71.15199998282051,4.278775004625306,71.15199998282051,4.278775004625306,fang_dataset,2023
94,CN(Cc1ccccc1)C1(C(=O)N2CCNC(=O)CC2)Cc2ccccc2C1,2.052682402,112.89700009953204,4.735294532086373,112.89700009953204,4.735294532086373,fang_dataset,2023
95,Cc1c(F)cccc1NC(=O)CN1[C@H]2CCCC(=O)N[C@@]2(C)C[C@H]1Cc1ccccc1,2.426639741,267.078999708181,5.5912817121037595,267.078999708181,5.5912817121037595,fang_dataset,2023
96,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1.28427278,19.243000006303998,3.0078090550908563,19.243000006303998,3.0078090550908563,fang_dataset,2023
97,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
98,Cc1ccc(NC(=O)CN2[C@H]3CCCC(=O)N[C@@]3(C)C[C@H]2Cc2ccccc2)cc1F,2.698323293,499.25600014461224,6.21511996768399,499.25600014461224,6.21511996768399,fang_dataset,2023
99,CN(C)C(=O)C1(Cc2ccccc2-c2cccc(F)c2)CCN(C(=O)C2CC=CCC2)CC1,2.998834093,997.3190002382486,6.90607286475492,997.3190002382486,6.90607286475492,fang_dataset,2023
100,COCC(=O)N1CCC(Cc2ccccc2-c2cccc(F)c2)(C(=O)NC(C)C)CC1,2.172170757,148.6520001083752,5.008312599450792,148.6520001083752,5.008312599450792,fang_dataset,2023
101,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,1.644123341,44.068000024340854,3.808172460842011,44.068000024340854,3.808172460842011,fang_dataset,2023
102,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,1.842771446,69.62600003852297,4.257398349203849,69.62600003852297,4.257398349203849,fang_dataset,2023
103,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
104,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
105,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,2.35761091,227.8299999168803,5.432979369428195,227.8299999168803,5.432979369428195,fang_dataset,2023
106,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,2.447729993,280.36900023990114,5.6396669759960965,280.36900023990114,5.6396669759960965,fang_dataset,2023
107,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
108,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,1.804466564,63.74800000479377,4.1705028121457515,63.74800000479377,4.1705028121457515,fang_dataset,2023
109,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,1.581926914,38.188000009420485,3.6683705777227877,38.188000009420485,3.6683705777227877,fang_dataset,2023
110,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,1.860308054,72.49499996752263,4.297217376252052,72.49499996752263,4.297217376252052,fang_dataset,2023
111,COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,2.325244658,211.4680000575081,5.358791389060298,211.4680000575081,5.358791389060298,fang_dataset,2023
112,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,0.926496789,8.442999994688398,2.245273725718441,8.442999994688398,2.245273725718441,fang_dataset,2023
113,Cc1oc2ccccc2c1CNc1nnc(-c2ccncc2)o1,1.523538372,33.384000022780086,3.5375913405626744,33.384000022780086,3.5375913405626744,fang_dataset,2023
114,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,1.578982843,37.93000002595739,3.6617651622891354,37.93000002595739,3.6617651622891354,fang_dataset,2023
115,C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,1.867909218,73.77499997078232,4.314483604125271,73.77499997078232,4.314483604125271,fang_dataset,2023
116,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,2.005819468,101.34900002056767,4.628388541864823,101.34900002056767,4.628388541864823,fang_dataset,2023
117,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,1.47950333,30.16500002414181,3.4392956710354587,30.16500002414181,3.4392956710354587,fang_dataset,2023
118,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
119,CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,1.554695053,35.86700001767175,3.6073168424499076,35.86700001767175,3.6073168424499076,fang_dataset,2023
120,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
121,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,0.734719842,5.429000004304255,1.860819005829056,5.429000004304255,1.860819005829056,fang_dataset,2023
122,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,1.953648568,89.87700006318391,4.509506944559869,89.87700006318391,4.509506944559869,fang_dataset,2023
123,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,2.666523596,464.0059995774505,6.14205030782122,464.0059995774505,6.14205030782122,fang_dataset,2023
124,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,1.775384687,59.618999964338464,4.10460837469943,59.618999964338464,4.10460837469943,fang_dataset,2023
125,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,2.095078646,124.47400002184384,4.832098565968247,124.47400002184384,4.832098565968247,fang_dataset,2023
126,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,2.649622021,446.2949996775151,6.1032183314751665,446.2949996775151,6.1032183314751665,fang_dataset,2023
127,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
128,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
129,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,1.881806762,76.1740000729402,4.346062613685435,76.1740000729402,4.346062613685435,fang_dataset,2023
130,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,1.342679234,22.013000020909484,3.1360592745538636,22.013000020909484,3.1360592745538636,fang_dataset,2023
131,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,2.209624915,162.04100012251328,5.0940017036712115,162.04100012251328,5.0940017036712115,fang_dataset,2023
132,COCCNC(=O)c1ccnc(C2CCNCC2)c1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
133,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,0.989894564,9.770000006326553,2.3767644917557207,9.770000006326553,2.3767644917557207,fang_dataset,2023
134,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
135,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,0.964165311,9.208000008020043,2.3231717273880967,9.208000008020043,2.3231717273880967,fang_dataset,2023
136,O=C1NCCSc2c1sc1ccc(O)cc21,1.688642252,48.825000004509086,3.908516866189357,48.825000004509086,3.908516866189357,fang_dataset,2023
