,Molecule Name,SMILES,HLM CLint,hlm_value_unscaled,hlm_value_unscaled_log1p,hlm_value_scaled,hlm_value_scaled_log1p,dataset,data_year
10,E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,18.9,18.9,2.990719731730447,18.9,2.990719731730447,openadmet_expansion_train,2026
11,E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,9.9,9.9,2.388762789235098,9.9,2.388762789235098,openadmet_expansion_train,2026
12,E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,15.6,15.6,2.8094026953624978,15.6,2.8094026953624978,openadmet_expansion_train,2026
13,E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,9.3,9.3,2.33214389523559,9.3,2.33214389523559,openadmet_expansion_train,2026
14,E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,9.1,9.1,2.312535423847214,9.1,2.312535423847214,openadmet_expansion_train,2026
15,E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,54.4,54.4,4.014579593753238,54.4,4.014579593753238,openadmet_expansion_train,2026
16,E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,173.4,173.4,5.161351511474879,173.4,5.161351511474879,openadmet_expansion_train,2026
17,E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,15.8,15.8,2.8213788864092133,15.8,2.8213788864092133,openadmet_expansion_train,2026
18,E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,123.2,123.2,4.821893169499378,123.2,4.821893169499378,openadmet_expansion_train,2026
19,E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,10.7,10.7,2.4595888418037104,10.7,2.4595888418037104,openadmet_expansion_train,2026
20,E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,10.7,10.7,2.4595888418037104,10.7,2.4595888418037104,openadmet_expansion_train,2026
21,E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,46.2,46.2,3.8543938925915096,46.2,3.8543938925915096,openadmet_expansion_train,2026
22,E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,48.9,48.9,3.910021002757473,48.9,3.910021002757473,openadmet_expansion_train,2026
23,E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,12.6,12.6,2.6100697927420065,12.6,2.6100697927420065,openadmet_expansion_train,2026
24,E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,13.6,13.6,2.681021528714291,13.6,2.681021528714291,openadmet_expansion_train,2026
25,E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,17.6,17.6,2.9231615807191558,17.6,2.9231615807191558,openadmet_expansion_train,2026
26,E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,12.7,12.7,2.617395832834079,12.7,2.617395832834079,openadmet_expansion_train,2026
27,E-0010584,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,90.7,90.7,4.51852237926242,90.7,4.51852237926242,openadmet_expansion_train,2026
28,E-0010600,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,112.1,112.1,4.728272383122075,112.1,4.728272383122075,openadmet_expansion_train,2026
29,E-0010607,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,18.7,18.7,2.9806186357439426,18.7,2.9806186357439426,openadmet_expansion_train,2026
30,E-0010625,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,65.7,65.7,4.200204952921578,65.7,4.200204952921578,openadmet_expansion_train,2026
31,E-0010662,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,29.0,29.0,3.4011973816621555,29.0,3.4011973816621555,openadmet_expansion_train,2026
32,E-0010676,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,45.5,45.5,3.8394523125933104,45.5,3.8394523125933104,openadmet_expansion_train,2026
33,E-0010690,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,73.4,73.4,4.309455941839047,73.4,4.309455941839047,openadmet_expansion_train,2026
34,E-0010691,CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,41.1,41.1,3.7400477406883357,41.1,3.7400477406883357,openadmet_expansion_train,2026
35,E-0010712,Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,16.4,16.4,2.856470206220483,16.4,2.856470206220483,openadmet_expansion_train,2026
36,E-0010713,COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,40.0,40.0,3.713572066704308,40.0,3.713572066704308,openadmet_expansion_train,2026
37,E-0010727,Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,11.7,11.7,2.5416019934645457,11.7,2.5416019934645457,openadmet_expansion_train,2026
38,E-0010730,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,15.6,15.6,2.8094026953624978,15.6,2.8094026953624978,openadmet_expansion_train,2026
39,E-0010733,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,33.0,33.0,3.5263605246161616,33.0,3.5263605246161616,openadmet_expansion_train,2026
40,E-0010734,CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,21.5,21.5,3.1135153092103742,21.5,3.1135153092103742,openadmet_expansion_train,2026
41,E-0010736,Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,18.4,18.4,2.9652730660692823,18.4,2.9652730660692823,openadmet_expansion_train,2026
42,E-0010737,Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,26.6,26.6,3.3178157727231046,26.6,3.3178157727231046,openadmet_expansion_train,2026
43,E-0010738,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,13.2,13.2,2.653241964607215,13.2,2.653241964607215,openadmet_expansion_train,2026
44,E-0010739,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,20.6,20.6,3.0726933146901194,20.6,3.0726933146901194,openadmet_expansion_train,2026
45,E-0010754,CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,19.5,19.5,3.0204248861443626,19.5,3.0204248861443626,openadmet_expansion_train,2026
46,E-0010765,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,22.7,22.7,3.1654750481410856,22.7,3.1654750481410856,openadmet_expansion_train,2026
47,E-0010767,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,11.2,11.2,2.501435951739211,11.2,2.501435951739211,openadmet_expansion_train,2026
48,E-0010768,Cc1c2ccncc2cc2c3cc(C#N)ccc3n(C)c12,136.7,136.7,4.925077405734609,136.7,4.925077405734609,openadmet_expansion_train,2026
49,E-0010772,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3ccncc3nc21,27.9,27.9,3.3638415951183864,27.9,3.3638415951183864,openadmet_expansion_train,2026
50,E-0010776,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3nc21,20.0,20.0,3.044522437723423,20.0,3.044522437723423,openadmet_expansion_train,2026
51,E-0010812,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)N(C)CC2,12.9,12.9,2.631888840136646,12.9,2.631888840136646,openadmet_expansion_train,2026
52,E-0010922,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)cc(F)c3n(C)c12,12.6,12.6,2.6100697927420065,12.6,2.6100697927420065,openadmet_expansion_train,2026
53,E-0010975,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,24.7,24.7,3.246490991901174,24.7,3.246490991901174,openadmet_expansion_train,2026
54,E-0010994,Cn1c2ccc(OCC(=N)N)cc2c2cc3ncccc3cc21,15.7,15.7,2.8154087194227095,15.7,2.8154087194227095,openadmet_expansion_train,2026
55,E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,104.8,104.8,4.661550519424199,104.8,4.661550519424199,openadmet_expansion_train,2026
56,E-0011079,c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,22.8,22.8,3.169685580677429,22.8,3.169685580677429,openadmet_expansion_train,2026
57,E-0011083,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,25.4,25.4,3.2733640101522705,25.4,3.2733640101522705,openadmet_expansion_train,2026
58,E-0011122,NC(=O)CN1C(=O)Cc2ccc(-c3ccccc3)cc21,13.5,13.5,2.6741486494265287,13.5,2.6741486494265287,openadmet_expansion_train,2026
59,E-0011133,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,20.6,20.6,3.0726933146901194,20.6,3.0726933146901194,openadmet_expansion_train,2026
60,E-0011137,CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,19.9,19.9,3.039749158970765,19.9,3.039749158970765,openadmet_expansion_train,2026
61,E-0011166,Cc1c2cnccc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,33.4,33.4,3.5380565643793527,33.4,3.5380565643793527,openadmet_expansion_train,2026
62,E-0011190,Cc1c2ccncc2cc2c3cc(OCC[C@@H](C)N)ccc3n(C)c12,14.0,14.0,2.70805020110221,14.0,2.70805020110221,openadmet_expansion_train,2026
63,E-0011191,COc1ccc2c(c1)c1cc(NC(=O)NCCN(C)C)nc(C)c1n2C,22.0,22.0,3.1354942159291497,22.0,3.1354942159291497,openadmet_expansion_train,2026
64,E-0011195,NC(=O)CCN1C(=O)Cc2c1ccc1ccccc21,9.6,9.6,2.3608540011180215,9.6,2.3608540011180215,openadmet_expansion_train,2026
65,E-0011210,Cc1c2ccncc2cc2c3cc(OCC[C@H](C)N)ccc3n(C)c12,17.1,17.1,2.89591193827178,17.1,2.89591193827178,openadmet_expansion_train,2026
66,E-0011211,Cc1c2ccncc2cc2c3cc(OC[C@H](C)Nc4ccccn4)ccc3n(C)c12,148.1,148.1,5.004617221770693,148.1,5.004617221770693,openadmet_expansion_train,2026
67,E-0011214,CC(=O)N[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,30.8,30.8,3.459466289786131,30.8,3.459466289786131,openadmet_expansion_train,2026
68,E-0011215,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC(N)=O)ccc3n(C)c12,20.4,20.4,3.0633909220278057,20.4,3.0633909220278057,openadmet_expansion_train,2026
69,E-0011216,NC(=O)Cn1ccc2ccc(-c3ccccc3)cc21,44.2,44.2,3.8110970868381857,44.2,3.8110970868381857,openadmet_expansion_train,2026
70,E-0011225,Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC(N)=O)ccc3n(C)c12,15.3,15.3,2.791165107812717,15.3,2.791165107812717,openadmet_expansion_train,2026
71,E-0011232,CCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,15.4,15.4,2.797281334830153,15.4,2.797281334830153,openadmet_expansion_train,2026
72,E-0011233,COCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,17.1,17.1,2.89591193827178,17.1,2.89591193827178,openadmet_expansion_train,2026
73,E-0011234,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NCC(F)F)ccc3n(C)c12,54.2,54.2,4.01096295328305,54.2,4.01096295328305,openadmet_expansion_train,2026
74,E-0011236,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N)ccc3n(C)c12,16.0,16.0,2.833213344056216,16.0,2.833213344056216,openadmet_expansion_train,2026
75,E-0011240,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN)ccc3n(C)c12,27.9,27.9,3.3638415951183864,27.9,3.3638415951183864,openadmet_expansion_train,2026
76,E-0011242,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN)ccc3n(C)c12,16.0,16.0,2.833213344056216,16.0,2.833213344056216,openadmet_expansion_train,2026
77,E-0011246,Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccccc3)ccc21,77.6,77.6,4.364371699435161,77.6,4.364371699435161,openadmet_expansion_train,2026
78,E-0011248,Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccncc3)ccc21,19.6,19.6,3.0252910757955354,19.6,3.0252910757955354,openadmet_expansion_train,2026
79,E-0011249,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N)ccc3n(C)c12,10.4,10.4,2.4336133554004498,10.4,2.4336133554004498,openadmet_expansion_train,2026
80,E-0011250,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)O)ccc3n(C)c12,42.2,42.2,3.765840495250065,42.2,3.765840495250065,openadmet_expansion_train,2026
81,E-0011251,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN(C)C)ccc3n(C)c12,28.2,28.2,3.374168709274236,28.2,3.374168709274236,openadmet_expansion_train,2026
82,E-0011252,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)O)ccc3n(C)c12,39.2,39.2,3.6938669956249757,39.2,3.6938669956249757,openadmet_expansion_train,2026
83,E-0011253,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,16.8,16.8,2.8791984572980396,16.8,2.8791984572980396,openadmet_expansion_train,2026
84,E-0011255,COC[C@H](C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,92.3,92.3,4.535820107853298,92.3,4.535820107853298,openadmet_expansion_train,2026
85,E-0011256,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3nc21,23.2,23.2,3.186352633162641,23.2,3.186352633162641,openadmet_expansion_train,2026
86,E-0011261,Cc1nc(CCC(=O)Nc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,22.3,22.3,3.1484533605716547,22.3,3.1484533605716547,openadmet_expansion_train,2026
87,E-0011262,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CO)ccc3n(C)c12,35.7,35.7,3.6027767550605247,35.7,3.6027767550605247,openadmet_expansion_train,2026
88,E-0011263,Cc1c2ccnc(C(=O)NCC(N)=O)c2cc2c3ccccc3n(C)c12,34.2,34.2,3.5610460826040513,34.2,3.5610460826040513,openadmet_expansion_train,2026
89,E-0011264,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CO)ccc3n(C)c12,41.7,41.7,3.754198920234579,41.7,3.754198920234579,openadmet_expansion_train,2026
90,E-0011265,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccccc3n(C)c12,11.3,11.3,2.509599262378372,11.3,2.509599262378372,openadmet_expansion_train,2026
91,E-0011266,Cc1nc(CCCNc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,44.2,44.2,3.8110970868381857,44.2,3.8110970868381857,openadmet_expansion_train,2026
92,E-0011271,Cc1c2ccccc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,8.7,8.7,2.272125885509337,8.7,2.272125885509337,openadmet_expansion_train,2026
93,E-0011277,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N(C)C)ccc3n(C)c12,12.2,12.2,2.580216829592325,12.2,2.580216829592325,openadmet_expansion_train,2026
94,E-0011279,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN(C)C)ccc3n(C)c12,11.3,11.3,2.509599262378372,11.3,2.509599262378372,openadmet_expansion_train,2026
95,E-0011280,Cn1c2ccc(OCC(N)=O)cc2c2nc3ccccc3nc21,120.4,120.4,4.799090878625398,120.4,4.799090878625398,openadmet_expansion_train,2026
96,E-0011282,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3ccccc3nc21,17.6,17.6,2.9231615807191558,17.6,2.9231615807191558,openadmet_expansion_train,2026
97,E-0011283,CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,10.1,10.1,2.4069451083182885,10.1,2.4069451083182885,openadmet_expansion_train,2026
98,E-0011285,Cc1c2ccncc2cc2c3cc(C(=O)NCC(N)=O)ccc3n(C)c12,16.9,16.9,2.884800712846709,16.9,2.884800712846709,openadmet_expansion_train,2026
99,E-0011286,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)C(N)=O)ccc3n(C)c12,17.9,17.9,2.9391619220655967,17.9,2.9391619220655967,openadmet_expansion_train,2026
100,E-0011287,Cc1c2ccccc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,19.2,19.2,3.005682604407159,19.2,3.005682604407159,openadmet_expansion_train,2026
101,E-0011288,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)C(N)=O)ccc3n(C)c12,15.3,15.3,2.791165107812717,15.3,2.791165107812717,openadmet_expansion_train,2026
102,E-0011289,COC(C)(C)CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,101.6,101.6,4.630837932736669,101.6,4.630837932736669,openadmet_expansion_train,2026
103,E-0011290,CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,10.8,10.8,2.468099531471619,10.8,2.468099531471619,openadmet_expansion_train,2026
104,E-0011291,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3cc21,41.2,41.2,3.742420221041966,41.2,3.742420221041966,openadmet_expansion_train,2026
105,E-0011292,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3cc21,12.0,12.0,2.5649493574615367,12.0,2.5649493574615367,openadmet_expansion_train,2026
106,E-0011293,Cn1c2ccc(C(=O)NCCO)cc2c2nc3ccccc3nc21,17.5,17.5,2.917770732084279,17.5,2.917770732084279,openadmet_expansion_train,2026
107,E-0011294,COC1CCN(CCOc2ccc3c(c2)c2nc4cnccc4nc2n3C)CC1,19.3,19.3,3.0106208860477417,19.3,3.0106208860477417,openadmet_expansion_train,2026
108,E-0011295,Cn1c2ccc(OCCN3CCC(F)CC3)cc2c2nc3cnccc3nc21,44.7,44.7,3.822098297900159,44.7,3.822098297900159,openadmet_expansion_train,2026
109,E-0011296,CN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,20.7,20.7,3.077312260546414,20.7,3.077312260546414,openadmet_expansion_train,2026
110,E-0011297,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N(C)C)ccc3n(C)c12,16.3,16.3,2.8507065015037334,16.3,2.8507065015037334,openadmet_expansion_train,2026
111,E-0011298,Cc1c2ccncc2cc2c3cc(C(=O)NCCOC(C)(C)C)ccc3n(C)c12,273.2,273.2,5.613857767128214,273.2,5.613857767128214,openadmet_expansion_train,2026
112,E-0011299,COCC(C)(C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,481.1,481.1,6.1781515614115765,481.1,6.1781515614115765,openadmet_expansion_train,2026
113,E-0011300,Cn1c2ccc(OCCN3CCCC3)cc2c2nc3cnccc3nc21,10.5,10.5,2.4423470353692043,10.5,2.4423470353692043,openadmet_expansion_train,2026
114,E-0011301,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3cc21,14.9,14.9,2.766319109226186,14.9,2.766319109226186,openadmet_expansion_train,2026
115,E-0011302,Cn1c2ccc(OCCCN3CCCCC3)cc2c2nc3cnccc3nc21,18.3,18.3,2.9601050959108397,18.3,2.9601050959108397,openadmet_expansion_train,2026
116,E-0011303,Cn1c2ccc(OCCCCN3CCCCC3)cc2c2nc3cnccc3nc21,20.4,20.4,3.0633909220278057,20.4,3.0633909220278057,openadmet_expansion_train,2026
117,E-0011305,COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,23.3,23.3,3.190476350346503,23.3,3.190476350346503,openadmet_expansion_train,2026
118,E-0011306,COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,19.6,19.6,3.0252910757955354,19.6,3.0252910757955354,openadmet_expansion_train,2026
119,E-0011308,CC(C)N[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,17.9,17.9,2.9391619220655967,17.9,2.9391619220655967,openadmet_expansion_train,2026
120,E-0011309,CN1CCN=C1COc1ccc2c(c1)c1nc3cnccc3nc1n2C,12.2,12.2,2.580216829592325,12.2,2.580216829592325,openadmet_expansion_train,2026
121,E-0011310,CCCN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,11.2,11.2,2.501435951739211,11.2,2.501435951739211,openadmet_expansion_train,2026
122,E-0011311,Cn1c2ccc(OCCCN3CCCC3)cc2c2nc3cnccc3nc21,12.4,12.4,2.5952547069568657,12.4,2.5952547069568657,openadmet_expansion_train,2026
123,E-0011312,Cn1c2ccc(OCCCCN3CCCC3)cc2c2nc3cnccc3nc21,13.5,13.5,2.6741486494265287,13.5,2.6741486494265287,openadmet_expansion_train,2026
124,E-0011313,C[C@@H](COc1ccc2c(c1)c1nc3cnccc3nc1n2C)N1CCCCC1,18.7,18.7,2.9806186357439426,18.7,2.9806186357439426,openadmet_expansion_train,2026
125,E-0011314,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3cc1n2C,8.9,8.9,2.2925347571405443,8.9,2.2925347571405443,openadmet_expansion_train,2026
126,E-0011316,Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,22.9,22.9,3.173878458937465,22.9,3.173878458937465,openadmet_expansion_train,2026
127,E-0011317,Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,14.8,14.8,2.760009940032921,14.8,2.760009940032921,openadmet_expansion_train,2026
128,E-0011335,Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,10.0,10.0,2.3978952727983707,10.0,2.3978952727983707,openadmet_expansion_train,2026
129,E-0011365,COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,151.6,151.6,5.027820118850356,151.6,5.027820118850356,openadmet_expansion_train,2026
130,E-0011366,COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,101.2,101.2,4.626931677769604,101.2,4.626931677769604,openadmet_expansion_train,2026
131,E-0011626,Cc1c2ccncc2cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,79.5,79.5,4.388257184424518,79.5,4.388257184424518,openadmet_expansion_train,2026
132,E-0011627,Cc1c2ccncc2cc2c3cc(Oc4cccc(N)n4)ccc3n(C)c12,152.4,152.4,5.0330488889331555,152.4,5.0330488889331555,openadmet_expansion_train,2026
133,E-0011628,Cc1c2ccncc2cc2c3cc(Oc4ccccn4)ccc3n(C)c12,394.8,394.8,5.980909033168466,394.8,5.980909033168466,openadmet_expansion_train,2026
134,E-0011629,COCCNC(=O)c1ccc2c(c1)c1nc3cnccc3nc1n2C,12.0,12.0,2.5649493574615367,12.0,2.5649493574615367,openadmet_expansion_train,2026
135,E-0011630,Cc1c2ccncc2cc2c3cc(Oc4ccncc4)ccc3n(C)c12,128.0,128.0,4.859812404361672,128.0,4.859812404361672,openadmet_expansion_train,2026
136,E-0011631,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,15.4,15.4,2.797281334830153,15.4,2.797281334830153,openadmet_expansion_train,2026
137,E-0011632,Cn1c2ccc(OCCNC3CCC(F)(F)CC3)cc2c2nc3cnccc3nc21,34.3,34.3,3.563882963939251,34.3,3.563882963939251,openadmet_expansion_train,2026
138,E-0011634,Cn1c2ccc(OCC(N)=O)cc2c2cc3ccccc3nc21,81.5,81.5,4.412798293340635,81.5,4.412798293340635,openadmet_expansion_train,2026
139,E-0011636,Cn1c2ccc(OCCNC3CCOCC3)cc2c2nc3cnccc3nc21,16.3,16.3,2.8507065015037334,16.3,2.8507065015037334,openadmet_expansion_train,2026
140,E-0011637,Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,10.2,10.2,2.4159137783010487,10.2,2.4159137783010487,openadmet_expansion_train,2026
141,E-0011638,Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,8.1,8.1,2.2082744135228043,8.1,2.2082744135228043,openadmet_expansion_train,2026
142,E-0011640,Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3cc21,13.9,13.9,2.7013612129514133,13.9,2.7013612129514133,openadmet_expansion_train,2026
143,E-0011642,Cn1c2ccc(OCCN3CCCCC3)cc2c2cc(-c3ccncc3)ccc21,12.2,12.2,2.580216829592325,12.2,2.580216829592325,openadmet_expansion_train,2026
144,E-0011643,Cn1c2ccc(C(=O)NCCO)cc2c2nc3cnccc3cc21,13.7,13.7,2.6878474937846906,13.7,2.6878474937846906,openadmet_expansion_train,2026
