,CXSMILES,HLM,Molecule Name,Set,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,data_year
21,CNC(=O)[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:4|,21.3,ASAP-0027759,Train,21.3,1.3283796034387378,1.3283796034387378,21.8964,1.3403727180979947,1.3403727180979947,openadmet_polaris,2025
22,C1=CC=C(C2=NC3=NN=CN3C(SC3=NC(C4=CC=CC=N4)=NO3)=C2)C=C1,0.0,ASAP-0027553,Train,0.0,,-1.0,0.0,,-1.0,openadmet_polaris,2025
23,CCN1C(C)=NN=C1SC1=CC(C2=CC=CC=C2)=NC2=NC=NN12,35.1,ASAP-0023327,Train,35.1,1.545307116465824,1.545307116465824,36.0828,1.557300231125081,1.557300231125081,openadmet_polaris,2025
24,ClC1=CC=C(C2=CN=C(SC3=CC(C4=CC=CC=C4)=NC4=NN=CN34)O2)C=C1,25.2,ASAP-0023517,Train,25.2,1.4014005407815442,1.4014005407815442,25.9056,1.413393655440801,1.413393655440801,openadmet_polaris,2025
25,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(N3N=NNC3=O)=C2)=C1)OCC1=CC=CC=C1,11.2,ASAP-0023274,Train,11.2,1.0492180226701815,1.0492180226701815,11.5136,1.0612111373294386,1.0612111373294386,openadmet_polaris,2025
26,"O=C(N[C@H]1[C@H]2CCCCC[C@H]2[C@H]1C(=O)NC1=CC=CC(C2CCNCC2)=C1)OCC1=CC=CC=C1 |&1:3,4,10,11|",31.3,ASAP-0023249,Train,31.3,1.4955443375464486,1.4955443375464486,32.1764,1.5075374522057055,1.5075374522057055,openadmet_polaris,2025
27,CC[C@H](CC1=NN=NN1)C1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1 |&1:2|,24.9,ASAP-0023266,Train,24.9,1.3961993470957363,1.3961993470957363,25.5972,1.4081924617549932,1.4081924617549932,openadmet_polaris,2025
28,CN1C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=NN=C1C1=CC=NC=C1,174.0,ASAP-0022872,Train,174.0,2.2405492482826,2.2405492482826,178.872,2.2525423629418566,2.2525423629418566,openadmet_polaris,2025
29,C1=CC=C(C2=NC3=NC=NN3C(SC3=NC=CO3)=C2)C=C1,332.0,ASAP-0022831,Train,332.0,2.5211380837040362,2.5211380837040362,341.296,2.5331311983632934,2.5331311983632934,openadmet_polaris,2025
30,CC(C)COC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,41.1,ASAP-0022679,Train,41.1,1.6138418218760693,1.6138418218760693,42.250800000000005,1.6258349365353262,1.6258349365353262,openadmet_polaris,2025
31,CC(C)COC1=CC=C2C(OCCCC3=CC(C(=O)N(C)C)=NO3)=NOC2=C1,95.1,ASAP-0022579,Train,95.1,1.9781805169374138,1.9781805169374138,97.7628,1.990173631596671,1.990173631596671,openadmet_polaris,2025
32,CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,238.0,ASAP-0022881,Train,238.0,2.376576957056512,2.376576957056512,244.66400000000002,2.388570071715769,2.388570071715769,openadmet_polaris,2025
33,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3C(OCC4CC4)=NOC3=C2)=C1,35.5,ASAP-0021312,Train,35.5,1.550228353055094,1.550228353055094,36.494,1.562221467714351,1.562221467714351,openadmet_polaris,2025
34,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,31.2,ASAP-0021658,Train,31.2,1.4941545940184429,1.4941545940184429,32.0736,1.5061477086776998,1.5061477086776998,openadmet_polaris,2025
35,CCOC1=NOC2=C(C)C(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,97.1,ASAP-0021134,Train,97.1,1.987219229908005,1.987219229908005,99.8188,1.9992123445672618,1.9992123445672618,openadmet_polaris,2025
36,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=C(C)C=C12,46.4,ASAP-0021262,Train,46.4,1.6665179805548809,1.6665179805548809,47.6992,1.6785110952141378,1.6785110952141378,openadmet_polaris,2025
37,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,60.4,ASAP-0021070,Train,60.4,1.7810369386211318,1.7810369386211318,62.0912,1.7930300532803887,1.7930300532803887,openadmet_polaris,2025
38,"NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1 |&1:7,9|",11.4,ASAP-0021039,Train,11.4,1.0569048513364727,1.0569048513364727,11.7192,1.0688979659957296,1.0688979659957296,openadmet_polaris,2025
39,NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(CN)=C2)=C1,21.0,ASAP-0020849,Train,21.0,1.3222192947339193,1.3222192947339193,21.588,1.3342124093931762,1.3342124093931762,openadmet_polaris,2025
40,CN(C)C(=O)C1=NOC(CCCOC2=CC=CC(F)=C2)=C1,46.6,ASAP-0020936,Train,46.6,1.6683859166900001,1.6683859166900001,47.9048,1.680379031349257,1.680379031349257,openadmet_polaris,2025
41,O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12 |&1:5|,20.3,ASAP-0020930,Train,20.3,1.307496037913213,1.307496037913213,20.8684,1.31948915257247,1.31948915257247,openadmet_polaris,2025
42,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1COCCC1=CC(C(=O)N(C)C)=NO1,36.5,ASAP-0020875,Train,36.5,1.5622928644564746,1.5622928644564746,37.522,1.5742859791157315,1.5742859791157315,openadmet_polaris,2025
43,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,79.9,ASAP-0020904,Train,79.9,1.9025467793139914,1.9025467793139914,82.1372,1.9145398939732483,1.9145398939732483,openadmet_polaris,2025
44,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,42.6,ASAP-0020843,Train,42.6,1.6294095991027189,1.6294095991027189,43.7928,1.6414027137619758,1.6414027137619758,openadmet_polaris,2025
45,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=NC=C2)=NO1,19.6,ASAP-0020827,Train,19.6,1.2922560713564761,1.2922560713564761,20.1488,1.304249186015733,1.304249186015733,openadmet_polaris,2025
46,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(C3=NOC(C4CC4)=N3)C=C2)=C1,29.8,ASAP-0020873,Train,29.8,1.4742162640762553,1.4742162640762553,30.634400000000003,1.4862093787355122,1.4862093787355122,openadmet_polaris,2025
47,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=C3CNCC3=C2)=C1)OCC1=CC=CC=C1,12.7,ASAP-0020915,Train,12.7,1.1038037209559568,1.1038037209559568,13.0556,1.1157968356152137,1.1157968356152137,openadmet_polaris,2025
48,O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,26.3,ASAP-0017673,Train,26.3,1.4199557484897578,1.4199557484897578,27.0364,1.4319488631490147,1.4319488631490147,openadmet_polaris,2025
49,CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,28.9,ASAP-0017622,Train,28.9,1.4608978427565478,1.4608978427565478,29.7092,1.4728909574158047,1.4728909574158047,openadmet_polaris,2025
50,CN(C)C(=O)C1=NOC(CCCN2C=CC3=NC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,51.3,ASAP-0017652,Train,51.3,1.7101173651118162,1.7101173651118162,52.736399999999996,1.7221104797710731,1.7221104797710731,openadmet_polaris,2025
51,NCCC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1,17.5,ASAP-0017692,Train,17.5,1.2430380486862944,1.2430380486862944,17.990000000000002,1.2550311633455513,1.2550311633455513,openadmet_polaris,2025
52,CC1=CC(OCC2=CC=CC=C2)=CC=C1NS(=O)(=O)C1=CC=C(Cl)C=C1C(=O)O,22.3,ASAP-0017520,Train,22.3,1.3483048630481607,1.3483048630481607,22.924400000000002,1.3602979777074176,1.3602979777074176,openadmet_polaris,2025
53,CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,119.0,ASAP-0017501,Train,119.0,2.0755469613925306,2.0755469613925306,122.33200000000001,2.0875400760517877,2.0875400760517877,openadmet_polaris,2025
54,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(C2=CC=CC=C2Cl)C=C1,343.0,ASAP-0017573,Train,343.0,2.5352941200427703,2.5352941200427703,352.604,2.5472872347020274,2.5472872347020274,openadmet_polaris,2025
55,O=C(O)C1=CC(Cl)=C(F)C=C1S(=O)(=O)NC1=CC=C(OC2=CC=CC=C2Cl)C=C1,67.4,ASAP-0017585,Train,67.4,1.8286598965353198,1.8286598965353198,69.28720000000001,1.840653011194577,1.840653011194577,openadmet_polaris,2025
56,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C(Br)=C2)=C1 |&1:11|,12.4,ASAP-0017583,Train,12.4,1.0934216851622351,1.0934216851622351,12.747200000000001,1.105414799821492,1.105414799821492,openadmet_polaris,2025
57,CCOC1=NOC2=CC(OCCC3CCN(C4=CC=C(C)N=N4)CC3)=CC=C12,41.7,ASAP-0017436,Train,41.7,1.6201360549737576,1.6201360549737576,42.8676,1.6321291696330145,1.6321291696330145,openadmet_polaris,2025
58,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC2=CC=CC=C2N1,11.0,ASAP-0017442,Train,11.0,1.0413926851582251,1.0413926851582251,11.308,1.053385799817482,1.053385799817482,openadmet_polaris,2025
59,COC1=CC=C2NC(CCCOC3=CC=C(C4=NOC(C(F)(F)F)=N4)C=C3C)=NC2=N1,30.5,ASAP-0017444,Train,30.5,1.4842998393467859,1.4842998393467859,31.354,1.4962929540060428,1.4962929540060428,openadmet_polaris,2025
60,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=CN=C2)=NO1,16.6,ASAP-0017438,Train,16.6,1.2201080880400552,1.2201080880400552,17.0648,1.2321012026993121,1.2321012026993121,openadmet_polaris,2025
61,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3CCCCC3=C2F)=C1,166.0,ASAP-0017437,Train,166.0,2.220108088040055,2.220108088040055,170.648,2.232101202699312,2.232101202699312,openadmet_polaris,2025
62,CCOC(=O)C1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,708.0,ASAP-0017441,Train,708.0,2.850033257689769,2.850033257689769,727.8240000000001,2.862026372349026,2.862026372349026,openadmet_polaris,2025
63,CC1=NN=C(CCCOC2=CC=C(C3=NOC(C(F)(F)F)=N3)C=C2C)O1,16.6,ASAP-0017292,Train,16.6,1.2201080880400552,1.2201080880400552,17.0648,1.2321012026993121,1.2321012026993121,openadmet_polaris,2025
64,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CC=N1,10.7,ASAP-0017304,Train,10.7,1.0293837776852097,1.0293837776852097,10.9996,1.0413768923444666,1.0413768923444666,openadmet_polaris,2025
65,CN(C)C(=O)C1=NOC(CCCN2N=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,14.7,ASAP-0017297,Train,14.7,1.167317334748176,1.167317334748176,15.1116,1.179310449407433,1.179310449407433,openadmet_polaris,2025
66,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CN=C1,14.9,ASAP-0017287,Train,14.9,1.173186268412274,1.173186268412274,15.317200000000001,1.185179383071531,1.185179383071531,openadmet_polaris,2025
67,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CSN=N1,27.5,ASAP-0017295,Train,27.5,1.4393326938302626,1.4393326938302626,28.27,1.4513258084895195,1.4513258084895195,openadmet_polaris,2025
68,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN=CO1,10.5,ASAP-0017294,Train,10.5,1.021189299069938,1.021189299069938,10.794,1.033182413729195,1.033182413729195,openadmet_polaris,2025
69,CC1=CC=NC=C1CCCOC1=CC=C(C2=NOC(C(F)(F)F)=N2)C=C1C,13.1,ASAP-0017306,Train,13.1,1.1172712956557642,1.1172712956557642,13.4668,1.1292644103150211,1.1292644103150211,openadmet_polaris,2025
70,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=NC=C1,10.9,ASAP-0017290,Train,10.9,1.0374264979406236,1.0374264979406236,11.205200000000001,1.0494196125998807,1.0494196125998807,openadmet_polaris,2025
71,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N(C)C)=NO1,11.0,ASAP-0017288,Train,11.0,1.0413926851582251,1.0413926851582251,11.308,1.053385799817482,1.053385799817482,openadmet_polaris,2025
72,CC1=NC(C2=CC=C(OCCCCCN3CCN(C4=CC=NC(N)=C4)C3=O)C=C2)=NO1,32.8,ASAP-0017296,Train,32.8,1.515873843711679,1.515873843711679,33.718399999999995,1.527866958370936,1.527866958370936,openadmet_polaris,2025
73,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN(C)N=C1,18.1,ASAP-0017289,Train,18.1,1.2576785748691846,1.2576785748691846,18.606800000000003,1.2696716895284414,1.2696716895284414,openadmet_polaris,2025
74,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N2CCOCC2)=NO1,18.5,ASAP-0017308,Train,18.5,1.2671717284030137,1.2671717284030137,19.018,1.2791648430622709,1.2791648430622709,openadmet_polaris,2025
75,CCON=CC1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,17.7,ASAP-0017298,Train,17.7,1.2479732663618066,1.2479732663618066,18.1956,1.2599663810210635,1.2599663810210635,openadmet_polaris,2025
76,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1CCOCC1=CC(C(=O)N(C)C)=NO1,48.4,ASAP-0017309,Train,48.4,1.6848453616444126,1.6848453616444126,49.7552,1.6968384763036695,1.6968384763036695,openadmet_polaris,2025
77,O=C1NC(=O)[C@@H](CC2=CC=C3OCOC3=C2)C2=CC=CC=C12 |a:5|,32.4,ASAP-0017037,Train,32.4,1.510545010206612,1.510545010206612,33.3072,1.5225381248658691,1.5225381248658691,openadmet_polaris,2025
78,CC(C)CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,198.0,ASAP-0016818,Train,198.0,2.296665190261531,2.296665190261531,203.544,2.308658304920788,2.308658304920788,openadmet_polaris,2025
79,O=C(NCC(F)(F)F)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,70.0,ASAP-0016843,Train,70.0,1.845098040014257,1.845098040014257,71.96000000000001,1.8570911546735138,1.8570911546735138,openadmet_polaris,2025
80,NCC1=CC=CC(NC(=O)C2=CC(OCC3=CC=CC=C3)=CC=C2CNC(=O)OCC2=CC=CC=C2)=C1,21.0,ASAP-0016784,Train,21.0,1.3222192947339193,1.3222192947339193,21.588,1.3342124093931762,1.3342124093931762,openadmet_polaris,2025
81,NCC1=CC=CC(NC(=O)CN(C(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,11.0,ASAP-0016778,Train,11.0,1.0413926851582251,1.0413926851582251,11.308,1.053385799817482,1.053385799817482,openadmet_polaris,2025
82,CC1=CC(C2=CC=C([C@H](NC(=O)OCC3=CC=CC=C3)C(=O)NC3=CC=CC(CN)=C3)C=C2)=CS1 |&1:8|,29.5,ASAP-0016768,Train,29.5,1.469822015978163,1.469822015978163,30.326,1.4818151306374199,1.4818151306374199,openadmet_polaris,2025
83,O=C1NC(=O)[C@H](CC2=CC=CC(Cl)=C2)C2=CC=CC=C12 |&1:5|,170.0,ASAP-0016664,Train,170.0,2.230448921378274,2.230448921378274,174.76,2.242442036037531,2.242442036037531,openadmet_polaris,2025
84,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |&1:11|,17.0,ASAP-0016554,Train,17.0,1.2304489213782739,1.2304489213782739,17.476,1.2424420360375308,1.2424420360375308,openadmet_polaris,2025
85,CC1=CC(NC(=O)NC2=CNC(=O)C3=CC=C(F)C=C23)=NO1,12.5,ASAP-0016445,Train,12.5,1.0969100130080565,1.0969100130080565,12.85,1.1089031276673134,1.1089031276673134,openadmet_polaris,2025
86,O=C1C2=CC=CC=C2[C@H](CC2=CC=C(O)C=C2)C(=O)N1CC1=CC=C2OCOC2=C1 |&1:8|,421.0,ASAP-0016345,Train,421.0,2.6242820958356683,2.6242820958356683,432.788,2.6362752104949254,2.6362752104949254,openadmet_polaris,2025
87,NCC1=CC=CC(CNC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |&1:11|,3.89,ASAP-0016386,Train,3.89,0.5899496013257077,0.5899496013257077,3.99892,0.6019427159849646,0.6019427159849646,openadmet_polaris,2025
88,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C(C2CCC2)C2CCC2)=C1 |&1:10|,12.6,ASAP-0016242,Train,12.6,1.100370545117563,1.100370545117563,12.9528,1.1123636597768198,1.1123636597768198,openadmet_polaris,2025
89,C1=CC=C2SC(C3CCN(CC4=CNC5=CC=CC=C45)CC3)=NC2=C1,38.1,ASAP-0016236,Train,38.1,1.5809249756756194,1.5809249756756194,39.1668,1.5929180903348763,1.5929180903348763,openadmet_polaris,2025
90,O=C(NCC1=CC=CC=N1)NC1=CNC(=O)C2=CC(Cl)=CC=C12,11.4,ASAP-0016130,Train,11.4,1.0569048513364727,1.0569048513364727,11.7192,1.0688979659957296,1.0688979659957296,openadmet_polaris,2025
91,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2CCCCC2)=C1 |&1:10|,5.29,ASAP-0016121,Train,5.29,0.7234556720351858,0.7234556720351858,5.4381200000000005,0.7354487866944427,0.7354487866944427,openadmet_polaris,2025
92,CC1=NOC(CCCOC2=C(C)C=C(C3=NOC(C(F)(F)F)=N3)C=C2C)=C1,11.6,ASAP-0016304,Train,11.6,1.0644579892269184,1.0644579892269184,11.9248,1.0764511038861755,1.0764511038861755,openadmet_polaris,2025
93,COC1=CC=CC=C1NC(=O)NC1=CNC(=O)C2=CC=CC=C12,16.5,ASAP-0015912,Train,16.5,1.2174839442139063,1.2174839442139063,16.962,1.2294770588731632,1.2294770588731632,openadmet_polaris,2025
94,CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,71.3,ASAP-0015925,Train,71.3,1.8530895298518655,1.8530895298518655,73.2964,1.8650826445111226,1.8650826445111226,openadmet_polaris,2025
95,"C[C@H](C(=O)O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |o1:1,5|",3.0,ASAP-0014722,Train,3.0,0.47712125471966244,0.47712125471966244,3.084,0.4891143693789194,0.4891143693789194,openadmet_polaris,2025
96,"CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)NCC1=CC=C(CN)C=C1)C1=CC=C(OCC2=CC=CC=C2)C=C1 |&1:4,&2:16|",56.0,ASAP-0015892,Train,56.0,1.7481880270062005,1.7481880270062005,57.568,1.7601811416654574,1.7601811416654574,openadmet_polaris,2025
97,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,155.0,ASAP-0015682,Train,155.0,2.1903316981702914,2.1903316981702914,159.34,2.2023248128295485,2.2023248128295485,openadmet_polaris,2025
98,COC1=CC=C([C@H](CC2=NN=NN2)NC(=O)C2=NC=NC3=C2C=CN3)C=C1 |o1:6|,2.0,ASAP-0015381,Train,2.0,0.3010299956639812,0.3010299956639812,2.056,0.31302311032323815,0.31302311032323815,openadmet_polaris,2025
99,C1=CC=C2C(CN3CCC(C4=CNC5=CC=CN=C45)CC3)=CNC2=C1,16.0,ASAP-0015396,Train,16.0,1.2041199826559248,1.2041199826559248,16.448,1.2161130973151817,1.2161130973151817,openadmet_polaris,2025
100,COC1=CC(CC2=C(C)ON=C2C2=CC=C(F)C=C2)=NC(N2CCNCC2)=N1,15.0,ASAP-0015355,Train,15.0,1.1760912590556813,1.1760912590556813,15.42,1.1880843737149382,1.1880843737149382,openadmet_polaris,2025
101,NCC1=CC=CC(NC(=O)[C@@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |a:10|,11.0,ASAP-0015367,Train,11.0,1.0413926851582251,1.0413926851582251,11.308,1.053385799817482,1.053385799817482,openadmet_polaris,2025
102,NC1=NN=C2C=CC(C3=CC=C4NC(=O)CNC4=C3)=CN12,15.6,ASAP-0015169,Train,15.6,1.1931245983544616,1.1931245983544616,16.0368,1.2051177130137185,1.2051177130137185,openadmet_polaris,2025
103,CNC(=O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,106.0,ASAP-0014994,Train,106.0,2.0253058652647704,2.0253058652647704,108.968,2.037298979924027,2.037298979924027,openadmet_polaris,2025
