SMILES_standardized,hlm_value_scaled_deduplicated,n_reps,y_std,y_min,y_max
CC(C)c1ccc(CNc2nc(-c3ccccc3)cc(=O)[n-]2)cc1,14.3,1,,14.3,14.3
CC(C)c1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,5.8,1,,5.8,5.8
CC(C)c1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,35.2,1,,35.2,35.2
CC(C)n1c2cc(OCCN3CCCCC3)ccc2c2ccn(C)c(=O)c21,16.1,1,,16.1,16.1
CC(C)n1ccc2c([nH]c3cc(OCCN4CCCCC4)ccc32)c1=O,4.8,1,,4.8,4.8
CC(C)n1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,112.3,1,,112.3,112.3
CC(CCOc1ccc(-c2ccc3ccncc3c2)cc1)C(N)=O,14.600000000000001,2,5.656854249492381,10.6,18.6
CC(CN(C)C)Nc1ccc(-c2cn(C)c3ccc(OCCCN4CCN(C)CC4)cc23)cn1,0.0,1,,0.0,0.0
CC1(C#Cc2c[nH]nc2C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)COC1,117.9,1,,117.9,117.9
CC1(C)C(=O)Nc2c(Nc3cccc(-c4cccnc4)n3)cccc21,59.8,1,,59.8,59.8
CC1(C)CC(Nc2ccc3c(n2)COc2cc(-n4cccn4)ccc2-3)CC(C)(C)N1,3.7,1,,3.7,3.7
CC1(C)CN(CCOc2ccc(-c3ccc4ccncc4c3)cc2)CCO1,82.5,1,,82.5,82.5
CC1(C)COCCN1CCOc1ccc(-c2ccc3ccncc3c2)cc1,91.8,1,,91.8,91.8
CC1(O)CC(NCCn2ccc3c([nH]c4cc(F)ccc43)c2=O)C1,3.8,1,,3.8,3.8
CC1(O)CN(CCCn2ccc3c([nH]c4cc(F)ccc43)c2=O)C1,0.0,1,,0.0,0.0
CC1(Oc2cncc(Cl)c2)CCN(C(=O)c2[nH]nc3cccnc23)CC1,19.2,1,,19.2,19.2
CC1CCN(CCOc2ccc3c(c2)[nH]c2c(=O)n(C)ccc23)CC1,7.0,1,,7.0,7.0
CC1CCN(CCc2cccc3c2[nH]c2c(=O)n(C)ccc23)CC1,18.4,1,,18.4,18.4
CCC(=O)N1CCN(C(=O)c2[nH]ncc2-c2ccc3ncsc3c2)CC1,3.7,1,,3.7,3.7
CCC(C(N)=O)c1cccc(Nc2cccc(-c3cccnc3)n2)n1,11.066666666666668,3,3.350124375800597,8.7,14.9
CCC(c1[nH]nc2cccnc12)N1CCC(Oc2cncc(Cl)c2)CC1,568.0,1,,568.0,568.0
CCC1(O)CN(CCOc2ccc3c(c2)[nH]c2c(=O)n(C)cc(C)c23)C1,3.4,1,,3.4,3.4
CCC1(OC)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,84.2,1,,84.2,84.2
CCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,15.4,1,,15.4,15.4
CCCN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,11.2,1,,11.2,11.2
CCCOc1nc2c(NCc3ccncn3)nc(Cl)nc2[n-]1,53.4,1,,53.4,53.4
CCCc1cc(N)n2nc(-c3ccccc3)cc2n1,245.1,1,,245.1,245.1
CCCc1ccc2c(N)c(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)sc2n1,58.3,1,,58.3,58.3
CCCn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,121.7,1,,121.7,121.7
CCN(C)C1(C#Cc2c(F)ccc3c2[nH]c2c(=O)n(C)ccc23)CC1,18.9,1,,18.9,18.9
CCN(C)C1(C#Cc2c(F)ccc3c4ccn(C)c(=O)c4n(C)c23)CC1,18.8,1,,18.8,18.8
CCN(C)CCNC(=O)COc1ccc(-c2cc3cnccc3c(C)c2N)cc1,34.6,1,,34.6,34.6
CCN(C)CCOc1ccc(-c2cc3cnccc3c(C)c2N)cc1,16.5,1,,16.5,16.5
CCN(C)CCOc1ccc(-c2cc3cnccc3c(C)c2N)cc1C(F)(F)F,73.6,1,,73.6,73.6
CCN(C)CCOc1ccc(-c2cc3cnccc3c(C)c2NC)cc1,41.0,1,,41.0,41.0
CCN(C)CCOc1ccc(-c2cnc3c(C#N)cnn3c2)cc1,4.7,1,,4.7,4.7
CCN(C)CCOc1ccc2c(c1)[nH]c1c(=O)n(C)cc(C)c12,5.5,1,,5.5,5.5
CCN(C)CCOc1ccc2c(c1)[nH]c1c(=O)n(C)ccc12,5.8,1,,5.8,5.8
CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,10.8,1,,10.8,10.8
CCN(CC)CCOc1ccc(-c2cc3cnccc3c(C)c2N)cc1,23.3,1,,23.3,23.3
CCN(CC)CCOc1ccc2c(c1)[nH]c1c(=O)n(C)ccc12,2.9,1,,2.9,2.9
CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,12.7,1,,12.7,12.7
CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,10.1,1,,10.1,10.1
CCN1CCC(N(C)c2ccc3c(c2)[nH]c2c(=O)n(C)cc(C)c23)CC1,3.3,1,,3.3,3.3
CCN1CCC(Oc2ccc3c(c2)[nH]c2c(=O)n(C)cc(C)c23)CC1,2.0,1,,2.0,2.0
CCN1CCC(Oc2ccc3c(c2)[nH]c2c(=O)n(C)cc(Cl)c23)CC1,3.5,1,,3.5,3.5
CCN1CCC[C@@H]1COc1ccc(-c2cc3cnccc3c(C)c2N)cc1,24.3,1,,24.3,24.3
CCN1CCC[C@H]1COc1ccc(-c2cc3cnccc3c(C)c2N)cc1,22.6,1,,22.6,22.6
CCN1CCN(C(=O)c2[nH]ncc2-c2ccc3ncsc3c2)CC1,0.0,1,,0.0,0.0
CCN1CCN(C(=O)c2cc(-c3ccc(OC)cc3OC)[nH]n2)CC1,4.4,1,,4.4,4.4
CCN1CC[C@@H](Oc2ccc(-c3cc4cnccc4c(C)c3N)cc2)C1,33.5,1,,33.5,33.5
CCN1CC[C@H](Oc2ccc(-c3cc4cnccc4c(C)c3N)cc2)C1,33.7,1,,33.7,33.7
CCNC1(C#Cc2c(F)ccc3c2[nH]c2c(=O)n(C)ccc23)CC1,17.8,1,,17.8,17.8
CCNCCOc1ccc(-c2cc3cnccc3c(C)c2N)cc1,3.9,1,,3.9,3.9
CCNc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cc1,29.7,1,,29.7,29.7
CCOC(=O)c1c(-c2ccc(OCCN3CCCCC3)cc2)nc2cnccc2c1C,42.3,1,,42.3,42.3
CCOC1CCN(C(=O)c2[nH]ncc2-c2ccc3ncsc3c2)CC1,50.0,1,,50.0,50.0
CCOC1CCN(C(=O)c2cc(-c3ccc(OC)cc3OC)[nH]n2)CC1,5.5,1,,5.5,5.5
CCOCCOc1ccc2c(c1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,16.2,1,,16.2,16.2
CCOc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2cc1F,13.6,1,,13.6,13.6
CCOc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2cn1,5.7,1,,5.7,5.7
CCOc1cc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)ccc3c2cn1,6.4,1,,6.4,6.4
CCOc1cc2[nH]c3nn(CCCN4CCCCC4)c(=O)cc3c2cn1,16.3,1,,16.3,16.3
CCOc1cc2c(cn1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,11.9,1,,11.9,11.9
CCOc1ccc2[nH]c3c(=O)n(CCCN(C)C4CCCCC4)ccc3c2c1,25.0,1,,25.0,25.0
CCOc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,8.0,1,,8.0,8.0
CCOc1ccc2[nH]c3c(=O)n(CCN(C)C4CCCCC4)cnc3c2c1,196.3,1,,196.3,196.3
CCOc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,1.2,1,,1.2,1.2
CCOc1ccc2[nH]c3c(=O)n(C[C@@H]4CCN(C)C4)cnc3c2c1,0.0,1,,0.0,0.0
CCOc1ccc2[nH]c3c(=O)n(C[C@H]4CCN(C)C4)cnc3c2c1,0.1,1,,0.1,0.1
CCOc1ccc2[nH]nc(CN3C[C@H]4CC[C@@H](C3)[C@@H]4Oc3cncc(Cl)c3)c2n1,429.4,1,,429.4,429.4
CCOc1ccc2c(c1)[nH]c1c(=O)n(CCCN(C)C3CCCCC3)ccc12,20.4,1,,20.4,20.4
CCOc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,16.5,1,,16.5,16.5
CCOc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ncc12,24.8,1,,24.8,24.8
CCOc1ccc2c(c1)c1ccn(CCCN(C)C3CCCCC3)c(=O)c1n2C,20.3,1,,20.3,20.3
CCOc1ccc2c(c1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,10.4,1,,10.4,10.4
CCOc1ccc2c(c1)c1ccn(CCN)c(=O)c1n2C,19.7,1,,19.7,19.7
CCOc1ccc2c(c1)c1ccn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,18.1,1,,18.1,18.1
CCOc1ccc2c(c1)c1ncn(CCCN3CCCCC3)c(=O)c1n2CC,15.5,1,,15.5,15.5
CCOc1ccc2c(c1)c1ncn(CCN(C)C3CCCCC3)c(=O)c1n2C,205.4,1,,205.4,205.4
CCOc1ccc2c(c1)c1ncn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,6.8,1,,6.8,6.8
CCOc1ccc2c(c1)c1ncn(C[C@H]3CCN(C)C3)c(=O)c1n2C,19.1,1,,19.1,19.1
CCOc1ccc2c3ccn(CCCN4CCCCC4)c(=O)c3n(C)c2c1,11.7,1,,11.7,11.7
CCOc1ccc2c3cnn(CCCN4CCCCC4)c(=O)c3n(C)c2c1,14.4,1,,14.4,14.4
CCOc1ccccc1-c1cc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)[nH]n1,40.9,1,,40.9,40.9
CCOc1cnc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,5.1,1,,5.1,5.1
CCOc1cnccc1N1CCC(NC(=O)c2cc3cc(-c4nnc(C)s4)ccn3n2)CC1,66.5,1,,66.5,66.5
CC[C@@H](CN(C)C)Oc1ccc(-c2cc3cnccc3c(C)c2N)cc1,31.4,1,,31.4,31.4
CC[C@@H](c1ccc(N2CCN(C(=O)c3cn(C)c4ncccc34)CC2)cc1)N1CC(COC)C1,16.0,1,,16.0,16.0
CC[C@H](CN(C)C)Oc1ccc(-c2cc3cnccc3c(C)c2N)cc1,47.9,1,,47.9,47.9
CC[C@H](c1ccc(N2CCN(C(=O)c3cn(C)c4ncccc34)CC2)cc1)N1CC(COC)C1,25.4,1,,25.4,25.4
CCc1c(N)c(-c2cc(F)c(OCCN3CCCCC3)cc2F)cc2cnccc12,87.1,1,,87.1,87.1
CCc1c(N)c(-c2cc(F)c(OCCN3CCOCC3)cc2F)cc2cnccc12,166.3,1,,166.3,166.3
CCc1c(N)c(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,28.8,1,,28.8,28.8
CCc1c(OCCN2CCCCC2)ccc(-c2cc(C)c3ccncc3c2)c1[O-],31.6,1,,31.6,31.6
CCc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,28.2,1,,28.2,28.2
CCc1ccc(CNc2cc(-c3ccccc3)[n-]c(=O)n2)cc1,27.0,1,,27.0,27.0
CCc1ccc(CNc2nc(-c3ccccc3)cc(=O)[n-]2)cc1,39.4,1,,39.4,39.4
CCc1ccc(OC2CCN(C(=O)c3cc(-c4ccc(OC)cc4OC)[nH]n3)CC2)cn1,134.7,1,,134.7,134.7
CCc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,1.9,1,,1.9,1.9
CCc1cnc(-c2cnc3c(c2)cc(C(=O)NC2CCN(c4ccncc4)CC2)n3C)s1,103.5,1,,103.5,103.5
CCc1cncc(C2CCN(Cc3[nH]ncc3-c3ccc4ncsc4c3)CC2)n1,283.3,1,,283.3,283.3
CCc1cncc(OC2CCN(C(=O)c3[nH]nc4cccnc34)CC2)c1,10.5,1,,10.5,10.5
CCc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,30.8,1,,30.8,30.8
CCc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,25.6,1,,25.6,25.6
