,CXSMILES,HLM,Molecule Name,Set,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled_high,hlm_value_scaled_low,hlm_value_scaled_log10_high,hlm_value_scaled_log10_low,dataset,data_year
10,N#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,10.3,ASAP-0028904,Train,10.3,1.0530784434834197,10.588400000000002,8.652000000000001,1.064023477452901,0.9846173132367483,openadmet_polaris,2025
11,"O=C(NC1=CC(Cl)=CC([C@H]2CN(CC3=CC=CC=C3)C[C@@H]2C2=CC=CC(C3=NNN=N3)=C2)=C1)OCC1=CC=CC=C1 |&1:9,20|",46.3,ASAP-0027928,Train,46.3,1.6748611407378116,47.596399999999996,38.891999999999996,1.686604098109132,1.6008858103682484,openadmet_polaris,2025
12,C=CC[C@H](NC1=CC=C(C2=NNN=N2)C=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,10.1,ASAP-0027983,Train,10.1,1.0453229787866574,10.3828,8.484,1.0562491052027307,0.9769915453061505,openadmet_polaris,2025
13,CCN1C(C)=NN=C1SC1=CC(C)=NC2=NC=NN12,16.5,ASAP-0027872,Train,16.5,1.2430380486862944,16.962,13.86,1.2543546920531665,1.1720188094245565,openadmet_polaris,2025
14,CC1=NC2=NC=NN2C(SC2=NN=C(C)O2)=C1,182.0,ASAP-0027864,Train,182.0,2.2624510897304293,187.096,152.88,2.2743795600564995,2.187182177634778,openadmet_polaris,2025
15,COC1=CC=C(C2=NN=C(SC3=CC(C)=NC4=NC=NN34)O2)C=C1,141.0,ASAP-0027845,Train,141.0,2.1522883443830563,144.948,118.44,2.16419814800567,2.077149794716969,openadmet_polaris,2025
16,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,65.5,ASAP-0027823,Train,65.5,1.8228216453031045,67.334,55.019999999999996,1.8346368433347593,1.7483431044875493,openadmet_polaris,2025
17,C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,290.0,ASAP-0027763,Train,290.0,2.4638929889859074,298.12,243.6,2.4758454521461633,2.3884564527002667,openadmet_polaris,2025
18,N#C[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:2|,13.6,ASAP-0027741,Train,13.6,1.1643528557844371,13.9808,11.424,1.17553500604092,1.0942614427205022,openadmet_polaris,2025
19,N#C[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,12.0,ASAP-0027804,Train,12.0,1.1139433523068367,12.336,10.08,1.125025586819949,1.044539760392411,openadmet_polaris,2025
20,CNCC1=NC2=NC=NN2C(SC2=NN=C(C3=CC=C(Cl)C=C3)N2C)=C1,0.0,ASAP-0027762,Train,0.0,0.0,0.0,0.0,0.0,0.0,openadmet_polaris,2025
21,CNC(=O)[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:4|,21.3,ASAP-0027759,Train,21.3,1.3483048630481607,21.8964,17.892,1.3597672036045256,1.2762779369046624,openadmet_polaris,2025
22,C1=CC=C(C2=NC3=NN=CN3C(SC3=NC(C4=CC=CC=N4)=NO3)=C2)C=C1,0.0,ASAP-0027553,Train,0.0,0.0,0.0,0.0,0.0,0.0,openadmet_polaris,2025
23,CCN1C(C)=NN=C1SC1=CC(C2=CC=CC=C2)=NC2=NC=NN12,35.1,ASAP-0023327,Train,35.1,1.557507201905658,36.0828,29.484,1.5691725188553929,1.4840719529546211,openadmet_polaris,2025
24,ClC1=CC=C(C2=CN=C(SC3=CC(C4=CC=CC=C4)=NC4=NN=CN34)O2)C=C1,25.2,ASAP-0023517,Train,25.2,1.4183012913197455,25.9056,21.168,1.4298426813400917,1.3457265127741753,openadmet_polaris,2025
25,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(N3N=NNC3=O)=C2)=C1)OCC1=CC=CC=C1,11.2,ASAP-0023274,Train,11.2,1.0863598306747482,11.5136,9.408,1.097382268543916,1.01736728355353,openadmet_polaris,2025
26,"O=C(N[C@H]1[C@H]2CCCCC[C@H]2[C@H]1C(=O)NC1=CC=CC(C2CCNCC2)=C1)OCC1=CC=CC=C1 |&1:3,4,10,11|",31.3,ASAP-0023249,Train,31.3,1.5092025223311027,32.1764,26.291999999999998,1.5208292585732728,1.4360353626078686,openadmet_polaris,2025
27,CC[C@H](CC1=NN=NN1)C1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1 |&1:2|,24.9,ASAP-0023266,Train,24.9,1.413299764081252,25.5972,20.915999999999997,1.4248359190162132,1.3407612917626721,openadmet_polaris,2025
28,CN1C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=NN=C1C1=CC=NC=C1,174.0,ASAP-0022872,Train,174.0,2.2430380486862944,178.872,146.16,2.254963563612844,2.167789779159089,openadmet_polaris,2025
29,C1=CC=C(C2=NC3=NC=NN3C(SC3=NC=CO3)=C2)C=C1,332.0,ASAP-0022831,Train,332.0,2.5224442335063197,341.296,278.88,2.534401824092368,2.446971865240103,openadmet_polaris,2025
30,CC(C)COC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,41.1,ASAP-0022679,Train,41.1,1.6242820958356683,42.250800000000005,34.524,1.6359941449192674,1.550521861389246,openadmet_polaris,2025
31,CC(C)COC1=CC=C2C(OCCCC3=CC(C(=O)N(C)C)=NO3)=NOC2=C1,95.1,ASAP-0022579,Train,95.1,1.9827233876685453,97.7628,79.88399999999999,1.9945933940111256,1.9078626205128668,openadmet_polaris,2025
32,CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,238.0,ASAP-0022881,Train,238.0,2.3783979009481375,244.66400000000002,199.92,2.390341518926754,2.3030231694875116,openadmet_polaris,2025
33,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3C(OCC4CC4)=NOC3=C2)=C1,35.5,ASAP-0021312,Train,35.5,1.5622928644564746,36.494,29.82,1.573961775051052,1.4888326343824005,openadmet_polaris,2025
34,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,31.2,ASAP-0021658,Train,31.2,1.507855871695831,32.0736,26.208,1.51948146963526,1.4346966189246657,openadmet_polaris,2025
35,CCOC1=NOC2=C(C)C(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,97.1,ASAP-0021134,Train,97.1,1.9916690073799486,99.8188,81.564,2.0035415239245897,1.9167907251727458,openadmet_polaris,2025
36,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=C(C)C=C12,46.4,ASAP-0021262,Train,46.4,1.675778341674085,47.6992,38.976,1.6875218269551018,1.6017993364345304,openadmet_polaris,2025
37,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,60.4,ASAP-0021070,Train,60.4,1.7881683711411678,62.0912,50.736,1.7999687878025925,1.7137928479390603,openadmet_polaris,2025
38,"NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1 |&1:7,9|",11.4,ASAP-0021039,Train,11.4,1.0934216851622351,11.7192,9.576,1.1044597963350657,1.024321442141565,openadmet_polaris,2025
39,NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(CN)=C2)=C1,21.0,ASAP-0020849,Train,21.0,1.3424226808222062,21.588,17.64,1.3538777790648415,1.2704459080179626,openadmet_polaris,2025
40,CN(C)C(=O)C1=NOC(CCCOC2=CC=CC(F)=C2)=C1,46.6,ASAP-0020936,Train,46.6,1.677606952720493,47.9048,39.144,1.6893514871646735,1.6036206439705354,openadmet_polaris,2025
41,O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12 |&1:5|,20.3,ASAP-0020930,Train,20.3,1.3283796034387378,20.8684,17.052,1.3398170090737356,1.2565253248481083,openadmet_polaris,2025
42,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1COCCC1=CC(C(=O)N(C)C)=NO1,36.5,ASAP-0020875,Train,36.5,1.5740312677277188,37.522,30.66,1.5857088269056523,1.500510910526337,openadmet_polaris,2025
43,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,79.9,ASAP-0020904,Train,79.9,1.9079485216122722,82.1372,67.116,1.919795393696459,1.8332491368106298,openadmet_polaris,2025
44,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,42.6,ASAP-0020843,Train,42.6,1.639486489268586,43.7928,35.784,1.6512082110613804,1.5656589539252037,openadmet_polaris,2025
45,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=NC=C2)=NO1,19.6,ASAP-0020827,Train,19.6,1.3138672203691535,20.1488,16.464000000000002,1.325285730190336,1.2421437227010828,openadmet_polaris,2025
46,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(C3=NOC(C4CC4)=N3)C=C2)=C1,29.8,ASAP-0020873,Train,29.8,1.4885507165004443,30.634400000000003,25.032,1.5001596017425276,1.4155075355927835,openadmet_polaris,2025
47,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=C3CNCC3=C2)=C1)OCC1=CC=CC=C1,12.7,ASAP-0020915,Train,12.7,1.1367205671564067,13.0556,10.668,1.1478493893335247,1.0669964204496951,openadmet_polaris,2025
48,O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,26.3,ASAP-0017673,Train,26.3,1.436162647040756,27.0364,22.092,1.4477222475075948,1.3634615488265933,openadmet_polaris,2025
49,CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,28.9,ASAP-0017622,Train,28.9,1.4756711883244296,29.7092,24.275999999999996,1.4872685028608164,1.4027083466919503,openadmet_polaris,2025
50,CN(C)C(=O)C1=NOC(CCCN2C=CC3=NC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,51.3,ASAP-0017652,Train,51.3,1.7185016888672742,52.736399999999996,43.092,1.730268568079571,1.6443597987415877,openadmet_polaris,2025
51,NCCC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1,17.5,ASAP-0017692,Train,17.5,1.2671717284030137,17.990000000000002,14.7,1.2785249647370176,1.1958996524092338,openadmet_polaris,2025
52,CC1=CC(OCC2=CC=CC=C2)=CC=C1NS(=O)(=O)C1=CC=C(Cl)C=C1C(=O)O,22.3,ASAP-0017520,Train,22.3,1.3673559210260189,22.924400000000002,18.732,1.3788410549146444,1.2951711067901035,openadmet_polaris,2025
53,CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,119.0,ASAP-0017501,Train,119.0,2.0791812460476247,122.33200000000001,99.96,2.0910757742464736,2.004149341900059,openadmet_polaris,2025
54,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(C2=CC=CC=C2Cl)C=C1,343.0,ASAP-0017573,Train,343.0,2.53655844257153,352.604,288.12,2.548517169146754,2.4610781352168565,openadmet_polaris,2025
55,O=C(O)C1=CC(Cl)=C(F)C=C1S(=O)(=O)NC1=CC=C(OC2=CC=CC=C2Cl)C=C1,67.4,ASAP-0017585,Train,67.4,1.8350561017201164,69.28720000000001,56.616,1.8468762428646388,1.7605431040272101,openadmet_polaris,2025
56,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C(Br)=C2)=C1 |&1:11|,12.4,ASAP-0017583,Train,12.4,1.1271047983648077,12.747200000000001,10.416,1.1382142510114053,1.0575139601065906,openadmet_polaris,2025
57,CCOC1=NOC2=CC(OCCC3CCN(C4=CC=C(C)N=N4)CC3)=CC=C12,41.7,ASAP-0017436,Train,41.7,1.6304278750250238,42.8676,35.028,1.6421438747681,1.5566401540717196,openadmet_polaris,2025
58,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC2=CC=CC=C2N1,11.0,ASAP-0017442,Train,11.0,1.0791812460476249,11.308,9.24,1.0901874875754207,1.0102999566398119,openadmet_polaris,2025
59,COC1=CC=C2NC(CCCOC3=CC=C(C4=NOC(C(F)(F)F)=N4)C=C3C)=NC2=N1,30.5,ASAP-0017444,Train,30.5,1.4983105537896004,31.354,25.619999999999997,1.5099279811573474,1.4252080511386562,openadmet_polaris,2025
60,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=CN=C2)=NO1,16.6,ASAP-0017438,Train,16.6,1.24551266781415,17.0648,13.944,1.2568331577458791,1.174466858886018,openadmet_polaris,2025
61,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3CCCCC3=C2F)=C1,166.0,ASAP-0017437,Train,166.0,2.2227164711475833,170.648,139.44,2.234638747499467,2.1474908207933137,openadmet_polaris,2025
62,CCOC(=O)C1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,708.0,ASAP-0017441,Train,708.0,2.8506462351830666,727.8240000000001,594.72,2.8626226654138294,2.7750421808338315,openadmet_polaris,2025
63,CC1=NN=C(CCCOC2=CC=C(C3=NOC(C(F)(F)F)=N3)C=C2C)O1,16.6,ASAP-0017292,Train,16.6,1.24551266781415,17.0648,13.944,1.2568331577458791,1.174466858886018,openadmet_polaris,2025
64,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CC=N1,10.7,ASAP-0017304,Train,10.7,1.0681858617461617,10.9996,8.988,1.0791667693236147,0.9994785336793102,openadmet_polaris,2025
65,CN(C)C(=O)C1=NOC(CCCN2N=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,14.7,ASAP-0017297,Train,14.7,1.1958996524092338,15.1116,12.347999999999999,1.207138671186878,1.125416197982755,openadmet_polaris,2025
66,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CN=C1,14.9,ASAP-0017287,Train,14.9,1.2013971243204515,15.317200000000001,12.516,1.21264563671704,1.1308481831028587,openadmet_polaris,2025
67,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CSN=N1,27.5,ASAP-0017295,Train,27.5,1.4548448600085102,28.27,23.099999999999998,1.466422722433792,1.3820170425748683,openadmet_polaris,2025
68,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN=CO1,10.5,ASAP-0017294,Train,10.5,1.0606978403536116,10.794,8.82,1.0716611234417879,0.9921114877869497,openadmet_polaris,2025
69,CC1=CC=NC=C1CCCOC1=CC=C(C2=NOC(C(F)(F)F)=N2)C=C1C,13.1,ASAP-0017306,Train,13.1,1.14921911265538,13.4668,11.004,1.1603724774885216,1.079325986752815,openadmet_polaris,2025
70,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=NC=C1,10.9,ASAP-0017290,Train,10.9,1.0755469613925308,11.205200000000001,9.156,1.0865449003599033,1.0067226922016845,openadmet_polaris,2025
71,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N(C)C)=NO1,11.0,ASAP-0017288,Train,11.0,1.0791812460476249,11.308,9.24,1.0901874875754207,1.0102999566398119,openadmet_polaris,2025
72,CC1=NC(C2=CC=C(OCCCCCN3CCN(C4=CC=NC(N)=C4)C3=O)C=C2)=NO1,32.8,ASAP-0017296,Train,32.8,1.5289167002776547,33.718399999999995,27.551999999999996,1.5405597024727034,1.455636534947604,openadmet_polaris,2025
73,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN(C)N=C1,18.1,ASAP-0017289,Train,18.1,1.2810333672477277,18.606800000000003,15.204,1.2924067188210258,1.2096222345115506,openadmet_polaris,2025
74,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N2CCOCC2)=NO1,18.5,ASAP-0017308,Train,18.5,1.290034611362518,19.018,15.54,1.3014206849138914,1.2185355052165279,openadmet_polaris,2025
75,CCON=CC1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,17.7,ASAP-0017298,Train,17.7,1.271841606536499,18.1956,14.867999999999999,1.2832016914790374,1.200522191802113,openadmet_polaris,2025
76,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1CCOCC1=CC(C(=O)N(C)C)=NO1,48.4,ASAP-0017309,Train,48.4,1.6937269489236468,49.7552,40.656,1.7054805434446798,1.619677564667636,openadmet_polaris,2025
77,O=C1NC(=O)[C@@H](CC2=CC=C3OCOC3=C2)C2=CC=CC=C12 |a:5|,32.4,ASAP-0017037,Train,32.4,1.5237464668115646,33.3072,27.215999999999998,1.5353852743321508,1.450495446659433,openadmet_polaris,2025
78,CC(C)CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,198.0,ASAP-0016818,Train,198.0,2.298853076409707,203.544,166.32,2.3107867446258408,2.223547855908593,openadmet_polaris,2025
79,O=C(NCC(F)(F)F)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,70.0,ASAP-0016843,Train,70.0,1.8512583487190752,71.96000000000001,58.8,1.8630848253203598,1.7767011839884108,openadmet_polaris,2025
80,NCC1=CC=CC(NC(=O)C2=CC(OCC3=CC=CC=C3)=CC=C2CNC(=O)OCC2=CC=CC=C2)=C1,21.0,ASAP-0016784,Train,21.0,1.3424226808222062,21.588,17.64,1.3538777790648415,1.2704459080179626,openadmet_polaris,2025
81,NCC1=CC=CC(NC(=O)CN(C(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,11.0,ASAP-0016778,Train,11.0,1.0791812460476249,11.308,9.24,1.0901874875754207,1.0102999566398119,openadmet_polaris,2025
82,CC1=CC(C2=CC=C([C@H](NC(=O)OCC3=CC=CC=C3)C(=O)NC3=CC=CC(CN)=C3)C=C2)=CS1 |&1:8|,29.5,ASAP-0016768,Train,29.5,1.4842998393467859,30.326,24.779999999999998,1.4959049435943592,1.4112829130173843,openadmet_polaris,2025
83,O=C1NC(=O)[C@H](CC2=CC=CC(Cl)=C2)C2=CC=CC=C12 |&1:5|,170.0,ASAP-0016664,Train,170.0,2.2329961103921536,174.76,142.79999999999998,2.2449200439124537,2.1577588860468637,openadmet_polaris,2025
84,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |&1:11|,17.0,ASAP-0016554,Train,17.0,1.255272505103306,17.476,14.28,1.2666079535745092,1.1841233542396712,openadmet_polaris,2025
85,CC1=CC(NC(=O)NC2=CNC(=O)C3=CC=C(F)C=C23)=NO1,12.5,ASAP-0016445,Train,12.5,1.130333768495006,12.85,10.5,1.1414497734004674,1.0606978403536116,openadmet_polaris,2025
86,O=C1C2=CC=CC=C2[C@H](CC2=CC=C(O)C=C2)C(=O)N1CC1=CC=C2OCOC2=C1 |&1:8|,421.0,ASAP-0016345,Train,421.0,2.625312450961674,432.788,353.64,2.6372775338333927,2.5497877182912783,openadmet_polaris,2025
87,NCC1=CC=CC(CNC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |&1:11|,3.89,ASAP-0016386,Train,3.89,0.6893088591236203,3.99892,3.2676,0.6988761865952469,0.6301837064568026,openadmet_polaris,2025
88,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C(C2CCC2)C2CCC2)=C1 |&1:10|,12.6,ASAP-0016242,Train,12.6,1.1335389083702174,12.9528,10.584,1.144661369081111,1.0638585488530716,openadmet_polaris,2025
89,C1=CC=C2SC(C3CCN(CC4=CNC5=CC=CC=C45)CC3)=NC2=C1,38.1,ASAP-0016236,Train,38.1,1.5921767573958667,39.1668,32.004,1.6038672338302657,1.518566578443118,openadmet_polaris,2025
90,O=C(NCC1=CC=CC=N1)NC1=CNC(=O)C2=CC(Cl)=CC=C12,11.4,ASAP-0016130,Train,11.4,1.0934216851622351,11.7192,9.576,1.1044597963350657,1.024321442141565,openadmet_polaris,2025
91,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2CCCCC2)=C1 |&1:10|,5.29,ASAP-0016121,Train,5.29,0.798650645445269,5.4381200000000005,4.4436,0.8087590672318776,0.7358862054043565,openadmet_polaris,2025
92,CC1=NOC(CCCOC2=C(C)C=C(C3=NOC(C(F)(F)F)=N3)C=C2C)=C1,11.6,ASAP-0016304,Train,11.6,1.100370545117563,11.9248,9.744,1.1114238314898943,1.031165999660659,openadmet_polaris,2025
93,COC1=CC=CC=C1NC(=O)NC1=CNC(=O)C2=CC=CC=C12,16.5,ASAP-0015912,Train,16.5,1.2430380486862944,16.962,13.86,1.2543546920531665,1.1720188094245565,openadmet_polaris,2025
94,CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,71.3,ASAP-0015925,Train,71.3,1.8591382972945307,73.2964,59.891999999999996,1.8709677707186825,1.7845602387071622,openadmet_polaris,2025
95,"C[C@H](C(=O)O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |o1:1,5|",3.0,ASAP-0014722,Train,3.0,0.6020599913279624,3.084,2.52,0.6110857334148726,0.5465426634781311,openadmet_polaris,2025
96,"CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)NCC1=CC=C(CN)C=C1)C1=CC=C(OCC2=CC=CC=C2)C=C1 |&1:4,&2:16|",56.0,ASAP-0015892,Train,56.0,1.7558748556724915,57.568,47.04,1.7676603938453739,1.6816029987308685,openadmet_polaris,2025
97,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,155.0,ASAP-0015682,Train,155.0,2.1931245983544616,159.34,130.2,2.2050418792613695,2.1179338350396413,openadmet_polaris,2025
98,COC1=CC=C([C@H](CC2=NN=NN2)NC(=O)C2=NC=NC3=C2C=CN3)C=C1 |o1:6|,2.0,ASAP-0015381,Train,2.0,0.47712125471966244,2.056,1.68,0.48515334990365233,0.4281347940287888,openadmet_polaris,2025
99,C1=CC=C2C(CN3CCC(C4=CNC5=CC=CN=C45)CC3)=CNC2=C1,16.0,ASAP-0015396,Train,16.0,1.2304489213782739,16.448,13.44,1.2417456525706438,1.1595671932336202,openadmet_polaris,2025
100,COC1=CC(CC2=C(C)ON=C2C2=CC=C(F)C=C2)=NC(N2CCNCC2)=N1,15.0,ASAP-0015355,Train,15.0,1.2041199826559248,15.42,12.6,1.215373152783422,1.1335389083702174,openadmet_polaris,2025
101,NCC1=CC=CC(NC(=O)[C@@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |a:10|,11.0,ASAP-0015367,Train,11.0,1.0791812460476249,11.308,9.24,1.0901874875754207,1.0102999566398119,openadmet_polaris,2025
102,NC1=NN=C2C=CC(C3=CC=C4NC(=O)CNC4=C3)=CN12,15.6,ASAP-0015169,Train,15.6,1.2201080880400552,16.0368,13.104,1.2313880251225435,1.1493422992912656,openadmet_polaris,2025
103,CNC(=O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,106.0,ASAP-0014994,Train,106.0,2.0293837776852097,108.968,89.03999999999999,2.0412663265649846,1.9544354863284823,openadmet_polaris,2025
104,CN1C=C(NC(=O)NCC2=CC=CC=N2)C2=CN=CC=C2C1=O,4.11,ASAP-0014913,Train,4.11,0.7084209001347127,4.22508,3.4524000000000004,0.7180929442170774,0.6485941740789319,openadmet_polaris,2025
105,O=C(/C=C/C1=CC=CC=C1)C(=O)N1CCN(CCC2=CC=CC=C2)CC1,167.0,ASAP-0012944,Train,167.0,2.225309281725863,171.67600000000002,140.28,2.237231979768524,2.1500806862334936,openadmet_polaris,2025
106,CC1=NC=CN1C[C@H](C)CNC(=O)C1=CC=C2COB(O)C2=C1 |&1:7|,1.0,ASAP-0014807,Train,1.0,0.3010299956639812,1.028,0.84,0.3070679506612984,0.26481782300953643,openadmet_polaris,2025
